"Region","year","value","value.lb","value.ub"
"AFG",2015,NA,NA,NA
"AGO",2015,NA,NA,NA
"ALB",2015,NA,NA,NA
"ARE",2015,NA,NA,NA
"ARG",2015,14219.0440288224,14219.0440288224,14219.0440288224
"ARM",2015,8582.55165731547,8582.55165731547,8582.55165731547
"AUS",2015,43666.017259458,43666.017259458,43666.017259458
"AUT",2015,38021.5464014643,38021.5464014643,38021.5464014643
"AZE",2015,19224.3869914553,19224.3869914553,19224.3869914553
"BDI",2015,395.114992617696,395.114992617696,395.114992617696
"BEL",2015,34843.9902726994,34843.9902726994,34843.9902726994
"BEN",2015,1134.34786022345,1134.34786022345,1134.34786022345
"BFA",2015,850.376367879588,850.376367879588,850.376367879588
"BGD",2015,1648.228180127,1648.228180127,1648.228180127
"BGR",2015,13827.6443022379,13827.6443022379,13827.6443022379
"BHR",2015,28522.2013845967,28522.2013845967,28522.2013845967
"BHS",2015,28632.9271020394,28632.9271020394,28632.9271020394
"BIH",2015,10222.7283937361,10222.7283937361,10222.7283937361
"BLR",2015,18003.6213990561,18003.6213990561,18003.6213990561
"BLZ",2015,8942.55966646937,8942.55966646937,8942.55966646937
"BOL",2015,4109.01501430277,4109.01501430277,4109.01501430277
"BRA",2015,10720.6381480055,10720.6381480055,10720.6381480055
"BRB",2015,21251.9898082101,21251.9898082101,21251.9898082101
"BRN",2015,37627.2153814311,37627.2153814311,37627.2153814311
"BTN",2015,6366.04192827013,6366.04192827013,6366.04192827013
"BWA",2015,10105.6818640839,10105.6818640839,10105.6818640839
"CAF",2015,681.538204143661,681.538204143661,681.538204143661
"CAN",2015,36743.9211500828,36743.9211500828,36743.9211500828
"CHE",2015,41559.3513068774,41559.3513068774,41559.3513068774
"CHL",2015,13346.8045006798,13346.8045006798,13346.8045006798
"CHN",2015,11973.5299802446,11973.5299802446,11973.5299802446
"CIV",2015,1282.41597205573,1282.41597205573,1282.41597205573
"CMR",2015,1864.34664233693,1864.34664233693,1864.34664233693
"COD",2015,411.854497707358,411.854497707358,411.854497707358
"COG",2015,2617.21716288905,2617.21716288905,2617.21716288905
"COL",2015,8588.42050835005,8588.42050835005,8588.42050835005
"COM",2015,903.858726781427,903.858726781427,903.858726781427
"CPV",2015,4785.12681750468,4785.12681750468,4785.12681750468
"CRI",2015,12227.5567388539,12227.5567388539,12227.5567388539
"CUB",2015,14163.7281217234,14163.7281217234,14163.7281217234
"CYP",2015,21863.9049716158,21863.9049716158,21863.9049716158
"CZE",2015,24811.294773521,24811.294773521,24811.294773521
"DEU",2015,32733.2517701154,32733.2517701154,32733.2517701154
"DJI",2015,2076.03009891338,2076.03009891338,2076.03009891338
"DNK",2015,34115.5861614243,34115.5861614243,34115.5861614243
"DOM",2015,11660.5544215636,11660.5544215636,11660.5544215636
"DZA",2015,6370.13812526565,6370.13812526565,6370.13812526565
"ECU",2015,7062.72219797166,7062.72219797166,7062.72219797166
"EGY",2015,5776.335764519,5776.335764519,5776.335764519
"ERI",2015,657.689482725852,657.689482725852,657.689482725852
"ESP",2015,28916.258936491,28916.258936491,28916.258936491
"EST",2015,19016.21074622,19016.21074622,19016.21074622
"ETH",2015,899.512645989311,899.512645989311,899.512645989311
"FIN",2015,33227.6306481609,33227.6306481609,33227.6306481609
"FJI",2015,5020.88278581841,5020.88278581841,5020.88278581841
"FRA",2015,30724.188890913,30724.188890913,30724.188890913
"GAB",2015,9820.16012983811,9820.16012983811,9820.16012983811
"GBR",2015,34519.3851695069,34519.3851695069,34519.3851695069
"GEO",2015,8755.72841996242,8755.72841996242,8755.72841996242
"GHA",2015,1415.16016421868,1415.16016421868,1415.16016421868
"GIN",2015,802.415454085525,802.415454085525,802.415454085525
"GLP",2015,NA,NA,NA
"GMB",2015,1912.7278429609,1912.7278429609,1912.7278429609
"GNB",2015,1002.71767104569,1002.71767104569,1002.71767104569
