"Region","year","value","value.lb","value.ub"
"ABW",2015,0.118,0.118,0.118
"AFG",2015,35.352,35.352,35.352
"AGO",2015,21.776,21.776,21.776
"ALB",2015,3.231,3.231,3.231
"ARE",2015,9.715,9.715,9.715
"ARG",2015,41.866,41.866,41.866
"ARM",2015,3.069,3.069,3.069
"AUS",2015,24.165,24.165,24.165
"AUT",2015,8.568,8.568,8.568
"AZE",2015,9.664,9.664,9.664
"BDI",2015,9.572,9.572,9.572
"BEL",2015,11.023,11.023,11.023
"BEN",2015,10.042,10.042,10.042
"BFA",2015,18.651,18.651,18.651
"BGD",2015,156.3,156.3,156.3
"BGR",2015,7.266,7.266,7.266
"BHR",2015,1.627,1.627,1.627
"BHS",2015,0.364,0.364,0.364
"BIH",2015,3.743,3.743,3.743
"BLR",2015,9.422,9.422,9.422
"BLZ",2015,0.336,0.336,0.336
"BOL",2015,10.555,10.555,10.555
"BRA",2015,202.295,202.295,202.295
"BRB",2015,0.276,0.276,0.276
"BRN",2015,0.429,0.429,0.429
"BTN",2015,0.792,0.792,0.792
"BWA",2015,2.115,2.115,2.115
"CAF",2015,4.768,4.768,4.768
"CAN",2015,35.901,35.901,35.901
"CHE",2015,7.908,7.908,7.908
"CHL",2015,17.809,17.809,17.809
"CHN",2015,1360.497,1360.497,1360.497
"CIV",2015,21.216,21.216,21.216
"CMR",2015,21.424,21.424,21.424
"COD",2015,74.762,74.762,74.762
"COG",2015,4.515,4.515,4.515
"COL",2015,49.087,49.087,49.087
"COM",2015,0.808,0.808,0.808
"CPV",2015,0.512,0.512,0.512
"CRI",2015,4.972,4.972,4.972
"CUB",2015,11.175,11.175,11.175
"CYP",2015,1.175,1.175,1.175
"CZE",2015,10.776,10.776,10.776
"DEU",2015,82.278,82.278,82.278
"DJI",2015,0.961,0.961,0.961
"DNK",2015,5.689,5.689,5.689
"DOM",2015,10.45,10.45,10.45
"DZA",2015,37.851,37.851,37.851
"ECU",2015,15.341,15.341,15.341
"EGY",2015,87.574,87.574,87.574
"ERI",2015,6.004,6.004,6.004
"ESP",2015,47.866,47.866,47.866
"EST",2015,1.336,1.336,1.336
"ETH",2015,91.763,91.763,91.763
"FIN",2015,5.502,5.502,5.502
"FJI",2015,0.884,0.884,0.884
"FRA",2015,67.056,67.056,67.056
"GAB",2015,1.622,1.622,1.622
"GBR",2015,64.264,64.264,64.264
"GEO",2015,4.247,4.247,4.247
"GHA",2015,26.933,26.933,26.933
"GIN",2015,10.758,10.758,10.758
"GMB",2015,1.934,1.934,1.934
"GNB",2015,1.644,1.644,1.644
"GNQ",2015,0.789,0.789,0.789
"GRC",2015,11.471,11.471,11.471
"GTM",2015,15.744,15.744,15.744
"GUY",2015,0.759,0.759,0.759
"HKG",2015,7.352,7.352,7.352
"HND",2015,8.193,8.193,8.193
"HRV",2015,4.37,4.37,4.37
"HTI",2015,10.506,10.506,10.506
"HUN",2015,9.871,9.871,9.871
"IDN",2015,250.506,250.506,250.506
"IND",2015,1297.953,1297.953,1297.953
"IRL",2015,4.773,4.773,4.773
"IRN",2015,78.025,78.025,78.025
"IRQ",2015,35.715,35.715,35.715
