"Region","year","value","value.lb","value.ub"
"ABW",2015,0.118,0.118,0.118
"AFG",2015,36.022,36.022,36.022
"AGO",2015,22.075,22.075,22.075
"ALB",2015,3.232,3.232,3.232
"ARE",2015,9.726,9.726,9.726
"ARG",2015,41.924,41.924,41.924
"ARM",2015,3.067,3.067,3.067
"AUS",2015,24.08,24.08,24.08
"AUT",2015,8.537,8.537,8.537
"AZE",2015,9.66,9.66,9.66
"BDI",2015,9.692,9.692,9.692
"BEL",2015,10.972,10.972,10.972
"BEN",2015,10.214,10.214,10.214
"BFA",2015,19.133,19.133,19.133
"BGD",2015,156.393,156.393,156.393
"BGR",2015,7.255,7.255,7.255
"BHR",2015,1.63,1.63,1.63
"BHS",2015,0.364,0.364,0.364
"BIH",2015,3.738,3.738,3.738
"BLR",2015,9.405,9.405,9.405
"BLZ",2015,0.342,0.342,0.342
"BOL",2015,10.751,10.751,10.751
"BRA",2015,202.596,202.596,202.596
"BRB",2015,0.275,0.275,0.275
"BRN",2015,0.429,0.429,0.429
"BTN",2015,0.792,0.792,0.792
"BWA",2015,2.106,2.106,2.106
"CAF",2015,4.843,4.843,4.843
"CAN",2015,35.767,35.767,35.767
"CHE",2015,7.883,7.883,7.883
"CHL",2015,17.828,17.828,17.828
"CHN",2015,1359.655,1359.655,1359.655
"CIV",2015,21.725,21.725,21.725
"CMR",2015,21.841,21.841,21.841
"COD",2015,76.455,76.455,76.455
"COG",2015,4.593,4.593,4.593
"COL",2015,49.199,49.199,49.199
"COM",2015,0.832,0.832,0.832
"CPV",2015,0.513,0.513,0.513
"CRI",2015,4.989,4.989,4.989
"CUB",2015,11.177,11.177,11.177
"CYP",2015,1.174,1.174,1.174
"CZE",2015,10.734,10.734,10.734
"DEU",2015,81.964,81.964,81.964
"DJI",2015,0.967,0.967,0.967
"DNK",2015,5.663,5.663,5.663
"DOM",2015,10.474,10.474,10.474
"DZA",2015,37.905,37.905,37.905
"ECU",2015,15.414,15.414,15.414
"EGY",2015,87.584,87.584,87.584
"ERI",2015,6.057,6.057,6.057
"ESP",2015,47.704,47.704,47.704
"EST",2015,1.332,1.332,1.332
"ETH",2015,93.126,93.126,93.126
"FIN",2015,5.477,5.477,5.477
"FJI",2015,0.884,0.884,0.884
"FRA",2015,66.807,66.807,66.807
"GAB",2015,1.643,1.643,1.643
"GBR",2015,64.003,64.003,64.003
"GEO",2015,4.242,4.242,4.242
"GHA",2015,27.445,27.445,27.445
"GIN",2015,11.001,11.001,11.001
"GMB",2015,1.974,1.974,1.974
"GNB",2015,1.677,1.677,1.677
"GNQ",2015,0.805,0.805,0.805
"GRC",2015,11.427,11.427,11.427
"GTM",2015,16.168,16.168,16.168
"GUY",2015,0.761,0.761,0.761
"HKG",2015,7.344,7.344,7.344
"HND",2015,8.36,8.36,8.36
"HRV",2015,4.363,4.363,4.363
"HTI",2015,10.62,10.62,10.62
"HUN",2015,9.834,9.834,9.834
"IDN",2015,250.243,250.243,250.243
"IND",2015,1303.307,1303.307,1303.307
"IRL",2015,4.752,4.752,4.752
"IRN",2015,78.138,78.138,78.138
"IRQ",2015,36.588,36.588,36.588
"ISL",2015,0.344,0.344,0.344
"ISR",2015,8.278,8.278,8.278
"ITA",2015,61.363,61.363,61.363
"JAM",2015,2.776,2.776,2.776
"JOR",2015,7.093,7.093,7.093
"JPN",2015,125.867,125.867,125.867
"KAZ",2015,16.762,16.762,16.762
"KEN",2015,46.118,46.118,46.118
"KGZ",2015,5.57,5.57,5.57
"KHM",2015,14.759,14.759,14.759
"KOR",2015,48.813,48.813,48.813
"KWT",2015,3.168,3.168,3.168
