"year","region","gdppc","gdppc.lb","gdppc.ub"
2015,"EU",34298.9369867296,34298.9369867296,34298.9369867296
2015,"US",52768.8752078742,52768.8752078742,52768.8752078742
2015,"OT",34034.7643990694,34034.7643990694,34034.7643990694
2015,"EE",13542.8331137143,13542.8331137143,13542.8331137143
2015,"CA",9698.5263611013,9698.5263611013,9698.5263611013
2015,"IA",5323.3953456097,5323.3953456097,5323.3953456097
2015,"AF",5372.47659564176,5372.47659564176,5372.47659564176
2015,"LA",12669.7988790675,12669.7988790675,12669.7988790675
2020,"EU",36659.3837483034,36659.3837483034,36659.3837483034
2020,"US",57240.1968961825,57240.1968961825,57240.1968961825
2020,"OT",36233.6732714247,36233.6732714247,36233.6732714247
2020,"EE",15173.5673018341,15173.5673018341,15173.5673018341
2020,"CA",12645.5775987764,12645.5775987764,12645.5775987764
2020,"IA",6334.75063580603,6334.75063580603,6334.75063580603
2020,"AF",5779.1349260754,5779.1349260754,5779.1349260754
2020,"LA",13845.074364102,13845.074364102,13845.074364102
2030,"EU",40334.6765956153,40334.6765956153,40334.6765956153
2030,"US",63605.4102323508,63605.4102323508,63605.4102323508
2030,"OT",39590.7367979373,39590.7367979373,39590.7367979373
2030,"EE",18369.9484436204,18369.9484436204,18369.9484436204
2030,"CA",17243.7212620013,17243.7212620013,17243.7212620013
2030,"IA",8212.45140635283,8212.45140635283,8212.45140635283
2030,"AF",6396.41268489979,6396.41268489979,6396.41268489979
2030,"LA",15384.6716534416,15384.6716534416,15384.6716534416
2040,"EU",43723.4805944775,43723.4805944775,43723.4805944775
2040,"US",67862.8118302639,67862.8118302639,67862.8118302639
2040,"OT",42619.9611423712,42619.9611423712,42619.9611423712
2040,"EE",21785.6966684022,21785.6966684022,21785.6966684022
2040,"CA",21540.9156854498,21540.9156854498,21540.9156854498
2040,"IA",10329.4721138374,10329.4721138374,10329.4721138374
2040,"AF",7157.09115024087,7157.09115024087,7157.09115024087
2040,"LA",17011.082188098,17011.082188098,17011.082188098
2050,"EU",46928.9336728063,46928.9336728063,46928.9336728063
2050,"US",71689.0127417651,71689.0127417651,71689.0127417651
2050,"OT",45517.9097117995,45517.9097117995,45517.9097117995
2050,"EE",23313.2875961487,23313.2875961487,23313.2875961487
2050,"CA",25697.3669535043,25697.3669535043,25697.3669535043
2050,"IA",12603.9189912247,12603.9189912247,12603.9189912247
2050,"AF",7859.04096002313,7859.04096002313,7859.04096002313
2050,"LA",18958.9337202552,18958.9337202552,18958.9337202552
2075,"EU",57415.7516597434,57415.7516597434,57415.7516597434
2075,"US",82225.1118463388,82225.1118463388,82225.1118463388
2075,"OT",54055.6173272727,54055.6173272727,54055.6173272727
2075,"EE",29238.7414920345,29238.7414920345,29238.7414920345
2075,"CA",35579.2271460785,35579.2271460785,35579.2271460785
2075,"IA",19591.4584123485,19591.4584123485,19591.4584123485
2075,"AF",11070.7418633575,11070.7418633575,11070.7418633575
2075,"LA",26314.3978326165,26314.3978326165,26314.3978326165
2100,"EU",70420.3829289236,70420.3829289236,70420.3829289236
2100,"US",95964.8740499295,95964.8740499295,95964.8740499295
2100,"OT",63560.2083378448,63560.2083378448,63560.2083378448
