"year","region","gdppc","gdppc.lb","gdppc.ub"
2015,"EU",34298.9369867296,34298.9369867296,34298.9369867296
2015,"US",52768.8752078742,52768.8752078742,52768.8752078742
2015,"OT",34034.7643990694,34034.7643990694,34034.7643990694
2015,"EE",13542.8331137143,13542.8331137143,13542.8331137143
2015,"CA",9698.5263611013,9698.5263611013,9698.5263611013
2015,"IA",5323.3953456097,5323.3953456097,5323.3953456097
2015,"AF",5372.47659564176,5372.47659564176,5372.47659564176
2015,"LA",12669.7988790675,12669.7988790675,12669.7988790675
2020,"EU",36749.9096419396,36749.9096419396,36749.9096419396
2020,"US",57805.5836239876,57805.5836239876,57805.5836239876
2020,"OT",36918.6685871828,36918.6685871828,36918.6685871828
2020,"EE",16295.5345133845,16295.5345133845,16295.5345133845
2020,"CA",14177.8937061617,14177.8937061617,14177.8937061617
2020,"IA",6810.34329386139,6810.34329386139,6810.34329386139
2020,"AF",6031.17035207212,6031.17035207212,6031.17035207212
2020,"LA",14432.8779063865,14432.8779063865,14432.8779063865
2030,"EU",41569.7718044752,41569.7718044752,41569.7718044752
2030,"US",65257.9039031491,65257.9039031491,65257.9039031491
2030,"OT",42803.4283753885,42803.4283753885,42803.4283753885
2030,"EE",23030.917714458,23030.917714458,23030.917714458
2030,"CA",24657.593866191,24657.593866191,24657.593866191
2030,"IA",10842.3619643208,10842.3619643208,10842.3619643208
2030,"AF",7652.88622605699,7652.88622605699,7652.88622605699
2030,"LA",18421.3010398738,18421.3010398738,18421.3010398738
2040,"EU",47582.1058990777,47582.1058990777,47582.1058990777
2040,"US",71162.8492658006,71162.8492658006,71162.8492658006
2040,"OT",49139.3928436397,49139.3928436397,49139.3928436397
2040,"EE",30533.4897335761,30533.4897335761,30533.4897335761
2040,"CA",35976.234366828,35976.234366828,35976.234366828
2040,"IA",16661.4532026568,16661.4532026568,16661.4532026568
2040,"AF",10195.324162408,10195.324162408,10195.324162408
2040,"LA",23742.3583152764,23742.3583152764,23742.3583152764
2050,"EU",54195.9474223233,54195.9474223233,54195.9474223233
2050,"US",76759.9912564501,76759.9912564501,76759.9912564501
2050,"OT",56024.9654403874,56024.9654403874,56024.9654403874
2050,"EE",36496.7525924627,36496.7525924627,36496.7525924627
2050,"CA",46959.1405423875,46959.1405423875,46959.1405423875
2050,"IA",24076.5320259264,24076.5320259264,24076.5320259264
2050,"AF",13889.0425858043,13889.0425858043,13889.0425858043
2050,"LA",30570.6009968239,30570.6009968239,30570.6009968239
2075,"EU",75036.867676936,75036.867676936,75036.867676936
2075,"US",93216.7091959779,93216.7091959779,93216.7091959779
2075,"OT",77760.8725738558,77760.8725738558,77760.8725738558
2075,"EE",54008.166747067,54008.166747067,54008.166747067
2075,"CA",69833.3439240659,69833.3439240659,69833.3439240659
2075,"IA",48844.1354989359,48844.1354989359,48844.1354989359
2075,"AF",31501.6313077119,31501.6313077119,31501.6313077119
2075,"LA",54638.6740737885,54638.6740737885,54638.6740737885
2100,"EU",100610.09833326,100610.09833326,100610.09833326
2100,"US",116909.262654556,116909.262654556,116909.262654556
2100,"OT",105297.836872424,105297.836872424,105297.836872424
2100,"EE",74042.2632436507,74042.2632436507,74042.2632436507
