"Region","year","value","value.lb","value.ub"
"AFG",2015,35.2694189140994,35.2694189140994,35.2694189140994
"AGO",2015,21.7919448797317,21.7919448797317,21.7919448797317
"ALB",2015,3.22109799684206,3.22109799684206,3.22109799684206
"ARE",2015,10.0155593739632,10.0155593739632,10.0155593739632
"ARG",2015,41.8297857347069,41.8297857347069,41.8297857347069
"ARM",2015,3.05512158772249,3.05512158772249,3.05512158772249
"AUS",2015,24.4297987274293,24.4297987274293,24.4297987274293
"AUT",2015,8.61370430421517,8.61370430421517,8.61370430421517
"AZE",2015,9.67342330515572,9.67342330515572,9.67342330515572
"BDI",2015,9.63393878536727,9.63393878536727,9.63393878536727
"BEL",2015,11.0875317856588,11.0875317856588,11.0875317856588
"BEN",2015,10.0513362276045,10.0513362276045,10.0513362276045
"BFA",2015,18.6230379120291,18.6230379120291,18.6230379120291
"BGD",2015,155.919222885235,155.919222885235,155.919222885235
"BGR",2015,7.26182919024555,7.26182919024555,7.26182919024555
"BHR",2015,1.67250031411776,1.67250031411776,1.67250031411776
"BHS",2015,0.365173848012845,0.365173848012845,0.365173848012845
"BIH",2015,3.74179156927462,3.74179156927462,3.74179156927462
"BLR",2015,9.41487022085959,9.41487022085959,9.41487022085959
"BLZ",2015,0.335627743675958,0.335627743675958,0.335627743675958
"BOL",2015,10.5222931667391,10.5222931667391,10.5222931667391
"BRA",2015,202.205809392984,202.205809392984,202.205809392984
"BRB",2015,0.275609021730996,0.275609021730996,0.275609021730996
"BRN",2015,0.429379477934162,0.429379477934162,0.429379477934162
"BTN",2015,0.794792666674171,0.794792666674171,0.794792666674171
"BWA",2015,2.11859962734324,2.11859962734324,2.11859962734324
"CAF",2015,4.76885272024666,4.76885272024666,4.76885272024666
"CAN",2015,36.2087942086871,36.2087942086871,36.2087942086871
"CHE",2015,7.95518317797508,7.95518317797508,7.95518317797508
"CHL",2015,17.8148721395542,17.8148721395542,17.8148721395542
"CHN",2015,1360.35661766906,1360.35661766906,1360.35661766906
"CIV",2015,21.145168875282,21.145168875282,21.145168875282
"CMR",2015,21.4198338720066,21.4198338720066,21.4198338720066
"COD",2015,74.7544260546764,74.7544260546764,74.7544260546764
"COG",2015,4.52470783275175,4.52470783275175,4.52470783275175
"COL",2015,49.0647423156121,49.0647423156121,49.0647423156121
"COM",2015,0.80559947382857,0.80559947382857,0.80559947382857
"CPV",2015,0.508411336642884,0.508411336642884,0.508411336642884
"CRI",2015,4.98533672434581,4.98533672434581,4.98533672434581
"CUB",2015,11.1429978490877,11.1429978490877,11.1429978490877
"CYP",2015,1.1819092601817,1.1819092601817,1.1819092601817
"CZE",2015,10.8425919551732,10.8425919551732,10.8425919551732
"DEU",2015,82.5713472839375,82.5713472839375,82.5713472839375
"DJI",2015,0.961300270120051,0.961300270120051,0.961300270120051
"DNK",2015,5.72046579563511,5.72046579563511,5.72046579563511
"DOM",2015,10.423604632753,10.423604632753,10.423604632753
"DZA",2015,37.8230934295063,37.8230934295063,37.8230934295063
"ECU",2015,15.3179793398277,15.3179793398277,15.3179793398277
"EGY",2015,87.5032066457411,87.5032066457411,87.5032066457411
"ERI",2015,6.01513054561128,6.01513054561128,6.01513054561128
"ESP",2015,48.2310067489243,48.2310067489243,48.2310067489243
"EST",2015,1.34026757899999,1.34026757899999,1.34026757899999
"ETH",2015,91.6985434095071,91.6985434095071,91.6985434095071
"FIN",2015,5.52999020914103,5.52999020914103,5.52999020914103
"FJI",2015,0.879071376236323,0.879071376236323,0.879071376236323
"FRA",2015,65.0963524563063,65.0963524563063,65.0963524563063
"GAB",2015,1.62268205987855,1.62268205987855,1.62268205987855
"GBR",2015,64.6319933194957,64.6319933194957,64.6319933194957
"GEO",2015,4.22122719753996,4.22122719753996,4.22122719753996
"GHA",2015,26.9202699417794,26.9202699417794,26.9202699417794
"GIN",2015,10.6964656796032,10.6964656796032,10.6964656796032
"GLP",2015,0.471549344024322,0.471549344024322,0.471549344024322
"GMB",2015,1.93116284225887,1.93116284225887,1.93116284225887
"GNB",2015,1.64166939665621,1.64166939665621,1.64166939665621
"GNQ",2015,0.793109251713693,0.793109251713693,0.793109251713693
"GRC",2015,11.5117605029699,11.5117605029699,11.5117605029699
"GTM",2015,15.7015002534425,15.7015002534425,15.7015002534425
"GUM",2015,0.189768867765319,0.189768867765319,0.189768867765319
"GUY",2015,0.752845475780476,0.752845475780476,0.752845475780476
"HKG",2015,7.39244707790346,7.39244707790346,7.39244707790346
"HND",2015,8.17134635956405,8.17134635956405,8.17134635956405
"HRV",2015,4.37360399168515,4.37360399168515,4.37360399168515
"HTI",2015,10.4583615306218,10.4583615306218,10.4583615306218
"HUN",2015,9.9065095003588,9.9065095003588,9.9065095003588
"IDN",2015,250.342799269806,250.342799269806,250.342799269806
"IND",2015,1297.66453369451,1297.66453369451,1297.66453369451
"IRL",2015,4.80710737167364,4.80710737167364,4.80710737167364
"IRN",2015,77.9863817812808,77.9863817812808,77.9863817812808
"IRQ",2015,35.6830860995574,35.6830860995574,35.6830860995574
"ISL",2015,0.34821006290053,0.34821006290053,0.34821006290053
"ISR",2015,8.40927938758386,8.40927938758386,8.40927938758386
"ITA",2015,61.9323228838812,61.9323228838812,61.9323228838812
"JAM",2015,2.75651280093522,2.75651280093522,2.75651280093522
"JOR",2015,7.05569936105333,7.05569936105333,7.05569936105333
"JPN",2015,126.661235176349,126.661235176349,126.661235176349
"KAZ",2015,16.7765762807444,16.7765762807444,16.7765762807444
"KEN",2015,45.1597795685235,45.1597795685235,45.1597795685235
"KGZ",2015,5.54363344733047,5.54363344733047,5.54363344733047
"KHM",2015,14.7121190096495,14.7121190096495,14.7121190096495
"KOR",2015,49.0737473760857,49.0737473760857,49.0737473760857
"KWT",2015,3.20729340418566,3.20729340418566,3.20729340418566
"LAO",2015,6.57033233671511,6.57033233671511,6.57033233671511
"LBN",2015,4.37185404741772,4.37185404741772,4.37185404741772
"LBR",2015,4.84232545880855,4.84232545880855,4.84232545880855
"LBY",2015,6.88800222285582,6.88800222285582,6.88800222285582
"LCA",2015,0.181507733671573,0.181507733671573,0.181507733671573
"LKA",2015,21.5520193813753,21.5520193813753,21.5520193813753
"LSO",2015,2.2501238424196,2.2501238424196,2.2501238424196
"LTU",2015,3.24590753976252,3.24590753976252,3.24590753976252
"LUX",2015,0.561459653412437,0.561459653412437,0.561459653412437
"LVA",2015,2.18182758913066,2.18182758913066,2.18182758913066
"MAC",2015,0.591811399369745,0.591811399369745,0.591811399369745
"MAR",2015,33.0533835290739,33.0533835290739,33.0533835290739
"MDA",2015,3.34412952987511,3.34412952987511,3.34412952987511
"MDG",2015,23.3358340947654,23.3358340947654,23.3358340947654
"MDV",2015,0.337334591626499,0.337334591626499,0.337334591626499
"MEX",2015,118.966977015193,118.966977015193,118.966977015193
"MKD",2015,2.09168518181986,2.09168518181986,2.09168518181986
"MLI",2015,17.4684361044281,17.4684361044281,17.4684361044281
"MLT",2015,0.425514335342154,0.425514335342154,0.425514335342154
"MMR",2015,48.8550991876165,48.8550991876165,48.8550991876165
"MNE",2015,0.640186970711977,0.640186970711977,0.640186970711977
"MNG",2015,2.93916159832171,2.93916159832171,2.93916159832171
"MOZ",2015,25.6252430357209,25.6252430357209,25.6252430357209
"MRT",2015,3.83587992992461,3.83587992992461,3.83587992992461
"MTQ",2015,0.412500000805027,0.412500000805027,0.412500000805027
"MUS",2015,1.32994025130753,1.32994025130753,1.32994025130753
"MWI",2015,17.0816962430536,17.0816962430536,17.0816962430536
"MYS",2015,30.5702930806303,30.5702930806303,30.5702930806303
"NAM",2015,2.4535619704849,2.4535619704849,2.4535619704849
"NCL",2015,0.270988251083701,0.270988251083701,0.270988251083701
"NER",2015,18.1054026380285,18.1054026380285,18.1054026380285
"NGA",2015,177.35099656086,177.35099656086,177.35099656086
"NIC",2015,6.01378811708702,6.01378811708702,6.01378811708702
"NLD",2015,17.0265230661942,17.0265230661942,17.0265230661942
"NOR",2015,5.20429911362696,5.20429911362696,5.20429911362696
"NPL",2015,32.4734276747398,32.4734276747398,32.4734276747398
"NZL",2015,4.64375082267115,4.64375082267115,4.64375082267115
"OMN",2015,3.04614822046336,3.04614822046336,3.04614822046336
"PAK",2015,187.90898926262,187.90898926262,187.90898926262
"PAN",2015,3.75509443367674,3.75509443367674,3.75509443367674
"PER",2015,30.0508472520992,30.0508472520992,30.0508472520992
"PHL",2015,100.48146946395,100.48146946395,100.48146946395
"PNG",2015,7.50222978804031,7.50222978804031,7.50222978804031
"POL",2015,38.5588429930015,38.5588429930015,38.5588429930015
