"Region","year","value","value.lb","value.ub"
"ABW",2015,1726.49572649573,1726.49572649573,1726.49572649573
"AFG",2015,1347.69000664746,1347.69000664746,1347.69000664746
"AGO",2015,5845.61292078759,5845.61292078759,5845.61292078759
"ALB",2015,8331.69834457388,8331.69834457388,8331.69834457388
"ARE",2015,45281.6292075551,45281.6292075551,45281.6292075551
"ARG",2015,17101.3913208083,17101.3913208083,17101.3913208083
"ARM",2015,5914.13815364751,5914.13815364751,5914.13815364751
"AUS",2015,38968.1827709076,38968.1827709076,38968.1827709076
"AUT",2015,38631.1514009889,38631.1514009889,38631.1514009889
"AZE",2015,9449.05931942017,9449.05931942017,9449.05931942017
"BDI",2015,597.486236626156,597.486236626156,597.486236626156
"BEL",2015,35067.6801904936,35067.6801904936,35067.6801904936
"BEN",2015,1495.78431372549,1495.78431372549,1495.78431372549
"BFA",2015,1336.16954637991,1336.16954637991,1336.16954637991
"BGD",2015,1916.55188101045,1916.55188101045,1916.55188101045
"BGR",2015,13229.3640983381,13229.3640983381,13229.3640983381
"BHR",2015,21633.626097867,21633.626097867,21633.626097867
"BHS",2015,29849.3150684931,29849.3150684931,29849.3150684931
"BIH",2015,8231.26166977861,8231.26166977861,8231.26166977861
"BLR",2015,15416.066892464,15416.066892464,15416.066892464
"BLZ",2015,6742.69005847953,6742.69005847953,6742.69005847953
"BOL",2015,5137.66570872346,5137.66570872346,5137.66570872346
"BRA",2015,11387.4770826593,11387.4770826593,11387.4770826593
"BRB",2015,18420.2898550725,18420.2898550725,18420.2898550725
"BRN",2015,48450.1160092807,48450.1160092807,48450.1160092807
"BTN",2015,7127.97992471769,7127.97992471769,7127.97992471769
"BWA",2015,14600.2844950213,14600.2844950213,14600.2844950213
"CAF",2015,799.049979347377,799.049979347377,799.049979347377
"CAN",2015,37753.2251704129,37753.2251704129,37753.2251704129
"CHE",2015,40825.1721499617,40825.1721499617,40825.1721499617
"CHL",2015,16540.8601550734,16540.8601550734,16540.8601550734
"CHN",2015,10181.8345580563,10181.8345580563,10181.8345580563
"CIV",2015,1932.81321707205,1932.81321707205,1932.81321707205
"CMR",2015,2337.22580940605,2337.22580940605,2337.22580940605
"COD",2015,392.658654914935,392.658654914935,392.658654914935
"COG",2015,4972.93758184199,4972.93758184199,4972.93758184199
"COL",2015,10007.9972603844,10007.9972603844,10007.9972603844
"COM",2015,1017.98561151079,1017.98561151079,1017.98561151079
"CPV",2015,4145.5938697318,4145.5938697318,4145.5938697318
"CRI",2015,12128.9678578559,12128.9678578559,12128.9678578559
"CUB",2015,6637.15555555556,6637.15555555556,6637.15555555556
"CYP",2015,17741.4675767918,17741.4675767918,17741.4675767918
"CZE",2015,26543.7511710699,26543.7511710699,26543.7511710699
"DEU",2015,36346.3022153643,36346.3022153643,36346.3022153643
"DJI",2015,2459.15201654602,2459.15201654602,2459.15201654602
"DNK",2015,34180.269694819,34180.269694819,34180.269694819
"DOM",2015,9881.23761909254,9881.23761909254,9881.23761909254
"DZA",2015,8210.50569428482,8210.50569428482,8210.50569428482
"ECU",2015,8230.74948665298,8230.74948665298,8230.74948665298
"EGY",2015,6041.85683944146,6041.85683944146,6041.85683944146
"ERI",2015,530.774321641297,530.774321641297,530.774321641297
"ESP",2015,27411.783331926,27411.783331926,27411.783331926
"EST",2015,20772.5903614458,20772.5903614458,20772.5903614458
"ETH",2015,1165.66472002748,1165.66472002748,1165.66472002748
"FIN",2015,34642.5297891842,34642.5297891842,34642.5297891842
"FJI",2015,4412.94642857143,4412.94642857143,4412.94642857143
"FRA",2015,30553.7435805027,30553.7435805027,30553.7435805027
"GAB",2015,14770.4019488429,14770.4019488429,14770.4019488429
"GBR",2015,34069.0645449838,34069.0645449838,34069.0645449838
"GEO",2015,6409.50384346611,6409.50384346611,6409.50384346611
"GHA",2015,2047.79425157553,2047.79425157553,2047.79425157553
"GIN",2015,1240.73404447659,1240.73404447659,1240.73404447659
"GMB",2015,2105.20991401113,2105.20991401113,2105.20991401113
"GNB",2015,1210.83978558666,1210.83978558666,1210.83978558666
"GNQ",2015,31744.0699126092,31744.0699126092,31744.0699126092
"GRC",2015,22420.3178505576,22420.3178505576,22420.3178505576
"GTM",2015,4470.43939767959,4470.43939767959,4470.43939767959
"GUY",2015,3968.95213454075,3968.95213454075,3968.95213454075
"HKG",2015,47822.3890784983,47822.3890784983,47822.3890784983
"HND",2015,3804.9421033783,3804.9421033783,3804.9421033783
"HRV",2015,16875.3430924062,16875.3430924062,16875.3430924062
"HTI",2015,1232.60176327143,1232.60176327143,1232.60176327143
"HUN",2015,18028.4693877551,18028.4693877551,18028.4693877551
"IDN",2015,5038.98600705593,5038.98600705593,5038.98600705593
"IND",2015,3835.80444793027,3835.80444793027,3835.80444793027
"IRL",2015,37529.3868921776,37529.3868921776,37529.3868921776
"IRN",2015,10940.4127322571,10940.4127322571,10940.4127322571
"IRQ",2015,4702.38615267009,4702.38615267009,4702.38615267009
"ISL",2015,34786.5497076023,34786.5497076023,34786.5497076023
"ISR",2015,29570.09004624,29570.09004624,29570.09004624
"ITA",2015,27449.6066863324,27449.6066863324,27449.6066863324
"JAM",2015,7175.65649396735,7175.65649396735,7175.65649396735
"JOR",2015,5550.94232676775,5550.94232676775,5550.94232676775
"JPN",2015,32693.8975437255,32693.8975437255,32693.8975437255
"KAZ",2015,14248.1207457828,14248.1207457828,14248.1207457828
"KEN",2015,1697.83534805268,1697.83534805268,1697.83534805268
"KGZ",2015,2532.28374314523,2532.28374314523,2532.28374314523
"KHM",2015,2591.64717674574,2591.64717674574,2591.64717674574
"KOR",2015,32625.1641227638,32625.1641227638,32625.1641227638
"KWT",2015,50843.4423626548,50843.4423626548,50843.4423626548
"LAO",2015,3175.72219727586,3175.72219727586,3175.72219727586
"LBN",2015,14167.3478655767,14167.3478655767,14167.3478655767
"LBR",2015,611.801242236025,611.801242236025,611.801242236025
"LBY",2015,18544.9841908594,18544.9841908594,18544.9841908594
"LCA",2015,8364.13043478261,8364.13043478261,8364.13043478261
"LKA",2015,6121.48073301796,6121.48073301796,6121.48073301796
"LSO",2015,1751.20879120879,1751.20879120879,1751.20879120879
"LTU",2015,18871.7085119412,18871.7085119412,18871.7085119412
"LUX",2015,69772.4770642202,69772.4770642202,69772.4770642202
"LVA",2015,16219.9359853681,16219.9359853681,16219.9359853681
"MAC",2015,60659.2465753425,60659.2465753425,60659.2465753425
"MAR",2015,5137.2362837898,5137.2362837898,5137.2362837898
"MDA",2015,3673.90666275316,3673.90666275316,3673.90666275316
"MDG",2015,859.548202888814,859.548202888814,859.548202888814
"MDV",2015,8276.47058823529,8276.47058823529,8276.47058823529
"MEX",2015,13959.3108929251,13959.3108929251,13959.3108929251
"MKD",2015,10455.1098376313,10455.1098376313,10455.1098376313
"MLI",2015,941.967759866593,941.967759866593,941.967759866593
"MLT",2015,24596.6981132075,24596.6981132075,24596.6981132075
"MMR",2015,1869.70855328358,1869.70855328358,1869.70855328358
"MNE",2015,10996.8847352025,10996.8847352025,10996.8847352025
"MNG",2015,6004.70114170584,6004.70114170584,6004.70114170584
"MOZ",2015,1067.12900877428,1067.12900877428,1067.12900877428
"MRT",2015,2591.64733178654,2591.64733178654,2591.64733178654
"MUS",2015,14309.3632958801,14309.3632958801,14309.3632958801
"MWI",2015,881.42701212156,881.42701212156,881.42701212156
"MYS",2015,15481.5295721613,15481.5295721613,15481.5295721613
"NAM",2015,6586.66666666667,6586.66666666667,6586.66666666667
"NCL",2015,19492.5925925926,19492.5925925926,19492.5925925926
"NER",2015,780.777712042166,780.777712042166,780.777712042166
"NGA",2015,2607.2111414685,2607.2111414685,2607.2111414685
"NIC",2015,2842.76018099548,2842.76018099548,2842.76018099548
"NLD",2015,38887.7611585945,38887.7611585945,38887.7611585945
"NOR",2015,49960.7766228672,49960.7766228672,49960.7766228672
"NPL",2015,1204.97419335366,1204.97419335366,1204.97419335366
"NZL",2015,27177.370030581,27177.370030581,27177.370030581
"OMN",2015,27440.3669724771,27440.3669724771,27440.3669724771
"PAK",2015,2590.11668885582,2590.11668885582,2590.11668885582
"PAN",2015,17191.1298838437,17191.1298838437,17191.1298838437
"PER",2015,10908.9811763938,10908.9811763938,10908.9811763938
"PHL",2015,4112.75676628758,4112.75676628758,4112.75676628758
"PNG",2015,3138.71308016878,3138.71308016878,3138.71308016878
"POL",2015,19985.6156501726,19985.6156501726,19985.6156501726
"PRI",2015,18948.4095161721,18948.4095161721,18948.4095161721
"PRT",2015,21269.0085724935,21269.0085724935,21269.0085724935
"PRY",2015,5317.26393629124,5317.26393629124,5317.26393629124
"PSE",2015,3077.05856450903,3077.05856450903,3077.05856450903
"PYF",2015,17069.6864111498,17069.6864111498,17069.6864111498
"QAT",2015,89331.3953488372,89331.3953488372,89331.3953488372
"ROU",2015,12090.6003867377,12090.6003867377,12090.6003867377
"RUS",2015,17171.543159238,17171.543159238,17171.543159238
"RWA",2015,1296.9297174037,1296.9297174037,1296.9297174037
"SAU",2015,23552.017258589,23552.017258589,23552.017258589
"SDN",2015,2010.98548632828,2010.98548632828,2010.98548632828
"SEN",2015,1877.67412499123,1877.67412499123,1877.67412499123
"SGP",2015,58326.4447695684,58326.4447695684,58326.4447695684
"SLB",2015,2836.63366336634,2836.63366336634,2836.63366336634
"SLE",2015,1095.03631961259,1095.03631961259,1095.03631961259
"SLV",2015,6367.28636150602,6367.28636150602,6367.28636150602
"SOM",2015,33.2697807435653,33.2697807435653,33.2697807435653
"SRB",2015,7730.10522014506,7730.10522014506,7730.10522014506
"STP",2015,2713.48314606742,2713.48314606742,2713.48314606742
"SUR",2015,8459.16515426497,8459.16515426497,8459.16515426497
"SVK",2015,23173.5342167362,23173.5342167362,23173.5342167362
"SVN",2015,26751.4619883041,26751.4619883041,26751.4619883041
"SWE",2015,37250.5939469063,37250.5939469063,37250.5939469063
"SWZ",2015,4343.84858044164,4343.84858044164,4343.84858044164
"SYR",2015,4924.66211695437,4924.66211695437,4924.66211695437
"TCD",2015,1427.15513902874,1427.15513902874,1427.15513902874
"TGO",2015,1037.67637346142,1037.67637346142,1037.67637346142
"THA",2015,9156.66338997332,9156.66338997332,9156.66338997332
"TJK",2015,2463.80770281344,2463.80770281344,2463.80770281344
"TKM",2015,10351.6237402016,10351.6237402016,10351.6237402016
"TLS",2015,1843.30708661417,1843.30708661417,1843.30708661417
"TON",2015,4296.2962962963,4296.2962962963,4296.2962962963
"TTO",2015,24502.9239766082,24502.9239766082,24502.9239766082
"TUN",2015,9294.42130048904,9294.42130048904,9294.42130048904
"TUR",2015,14868.0726541451,14868.0726541451,14868.0726541451
"TWN",2015,38081.8205172118,38081.8205172118,38081.8205172118
"TZA",2015,1492.61188271605,1492.61188271605,1492.61188271605
"UGA",2015,1315.89303733602,1315.89303733602,1315.89303733602
"UKR",2015,7509.682679894,7509.682679894,7509.682679894
"URY",2015,15232.8166130447,15232.8166130447,15232.8166130447
"USA",2015,45703.9230915596,45703.9230915596,45703.9230915596
"UZB",2015,3783.35339638865,3783.35339638865,3783.35339638865
"VCT",2015,10333.3333333333,10333.3333333333,10333.3333333333
"VEN",2015,12262.6008225205,12262.6008225205,12262.6008225205
"VNM",2015,3619.56838256706,3619.56838256706,3619.56838256706
"VUT",2015,4291.0447761194,4291.0447761194,4291.0447761194
"WSM",2015,4255.31914893617,4255.31914893617,4255.31914893617
"YEM",2015,2031.68549738033,2031.68549738033,2031.68549738033
"ZAF",2015,10883.6319093554,10883.6319093554,10883.6319093554
"ZMB",2015,1685.77620173365,1685.77620173365,1685.77620173365
"ZWE",2015,498.140975987607,498.140975987607,498.140975987607
"ABW",2016,1790.07683704232,1790.07683704232,1790.07683704232
"AFG",2016,1373.36171027632,1373.36171027632,1373.36171027632
"AGO",2016,6016.92299981998,6016.92299981998,6016.92299981998
"ALB",2016,8516.34120138967,8516.34120138967,8516.34120138967
"ARE",2016,45954.5330564898,45954.5330564898,45954.5330564898
"ARG",2016,17614.0913922961,17614.0913922961,17614.0913922961
"ARM",2016,6125.06577768624,6125.06577768624,6125.06577768624
"AUS",2016,39694.2690925729,39694.2690925729,39694.2690925729
"AUT",2016,39171.0797467677,39171.0797467677,39171.0797467677
