"year","region","pop","pop.lb","pop.ub"
2100,"LA",1217.60588874488,1217.60588874488,1217.60588874488
2101,"EU",247.237086238666,247.228461361076,247.246063587997
2101,"US",201.645274993176,201.639020990515,201.651824100903
2101,"OT",189.203329206676,189.199253151081,189.207555633265
2101,"EE",361.784296340308,361.781018624213,361.787641021237
2101,"CA",1327.37178963901,1327.35797165595,1327.38649750482
2101,"IA",3788.98787624872,3788.96231212359,3789.01418318063
2101,"AF",6247.64480273126,6247.37495182552,6247.91234749992
2101,"LA",1223.88422732548,1223.86380040777,1223.90488741637
2102,"EU",244.808689339398,244.783201519108,244.835172708407
2102,"US",199.882631613622,199.864130038707,199.901975400418
2102,"OT",188.069982004103,188.057889954617,188.082498069171
2102,"EE",362.81648856591,362.806688179887,362.826504786044
2102,"CA",1323.72469067267,1323.68356747512,1323.76838087466
2102,"IA",3797.19201379344,3797.11561624978,3797.27075167174
2102,"AF",6326.8574096134,6326.04294842719,6327.66632081968
2102,"LA",1230.14192149762,1230.08072008431,1230.20392036648
2103,"EU",242.425614069062,242.375396655059,242.477704325233
2103,"US",198.151035918749,198.114543903786,198.189129676335
2103,"OT",186.953613352654,186.929697293096,186.978325050366
2103,"EE",363.843218682833,363.82368399283,363.863215245092
2103,"CA",1320.12178837198,1320.0401961199,1320.20832522587
2103,"IA",3805.34877351696,3805.19656810088,3805.50588270064
2103,"AF",6406.38396282867,6404.74536529356,6408.01430172867
2103,"LA",1236.37878978961,1236.25655090381,1236.50282093425
2104,"EU",240.08680080634,240.004343783269,240.17219088297
2104,"US",196.449801956098,196.389817974179,196.512323347991
2104,"OT",185.853905985614,185.814485761388,185.894567854408
2104,"EE",364.864495095919,364.832048501705,364.897762522012
2104,"CA",1316.56244744664,1316.42753850734,1316.70529234922
2104,"IA",3813.45831353593,3813.20562055981,3813.71955003019
2104,"AF",6486.21734926245,6483.47046785212,6488.95537721152
2104,"LA",1242.59465533108,1242.39120571326,1242.80142332178
2105,"EU",237.791219524957,237.669355328568,237.917213333779
2105,"US",194.77826195403,194.689516813803,194.870623090971
2105,"OT",184.770549818619,184.712069206221,184.830770478109
2105,"EE",365.880326581956,365.831824350691,365.930136893284
2105,"CA",1313.04604359685,1312.84527953248,1313.25826585076
2105,"IA",3821.52079352971,3821.14322792018,3821.91172832692
2105,"AF",6566.35044041262,6562.20664972398,6570.48857724266
2105,"LA",1248.78934581391,1248.48460689467,1249.09956260285
2106,"EU",235.537868842436,235.369758744007,235.711399278801
2106,"US",193.135765765184,193.013213946939,193.263124732404
2106,"OT",183.703241759807,183.622264661959,183.786489232067
2106,"EE",366.890722282261,366.823054696698,366.96032878751
2106,"CA",1309.57196328785,1309.29310800991,1309.86625060768
2106,"IA",3829.53637469501,3829.00984576409,3830.08239315421
2106,"AF",6646.77609472624,6640.94243739027,6652.61287502913
2106,"LA",1254.96269345284,1254.53668618285,1255.39707473138
2107,"EU",233.325775103175,233.104896139104,233.553421189777
2107,"US",191.521680329111,191.360491648713,191.688952191821
2107,"OT",182.651685525671,182.544892287801,182.761292349925
2107,"EE",367.895691695327,367.805783188028,367.988328784667
2107,"CA",1306.13960352991,1305.7707166165,1306.52827223975
2107,"IA",3837.50521970105,3836.80593084272,3838.23152096548
2107,"AF",6727.48715990581,6719.66649363107,6735.32718726426
2107,"LA",1261.11453494548,1260.54738448391,1261.69379654964
2108,"EU",231.153991494472,230.874123918287,231.441994707126
2108,"US",189.935389153339,189.730940741028,190.147256465504
2108,"OT",181.615591462413,181.479775306366,181.75475961175
2108,"EE",368.895244669558,368.780053943435,369.014127615362
2108,"CA",1302.74837166345,1302.27780183498,1303.24337659614
2108,"IA",3845.42749264545,3844.53194095963,3846.35908909735
2108,"AF",6808.47647518448,6798.36762078551,6818.63037439252
2108,"LA",1267.24471143198,1266.5166516944,1267.98956579627
2109,"EU",229.021597194195,228.676812429222,229.375877010852
2109,"US",188.376291812193,188.124160393782,188.637214652345
2109,"OT",180.594676372614,180.426739943639,180.766481980974
2109,"EE",369.889391396071,369.745911531578,370.037716160082
2109,"CA",1299.3976851492,1298.81406389843,1300.01062925685
2109,"IA",3853.30335901065,3852.18833485664,3854.46507576287
2109,"AF",6889.73687356955,6877.03476383509,6902.52124088493
2109,"LA",1273.35306845416,1272.44444652134,1274.28422111416
2110,"EU",226.927696548847,226.512345620743,227.353865260823
2110,"US",186.843803462676,186.539757931236,187.158029019321
2110,"OT",179.588663347054,179.385615370227,179.796061254348
2110,"EE",370.878142401572,370.70340095086,371.059085448429
2110,"CA",1296.08697136329,1295.37921239965,1296.82911504844
2110,"IA",3861.13298562103,3859.77557210236,3862.54946004472
2110,"AF",6971.26118405348,6955.65701331271,6986.99853552526
2110,"LA",1279.4394559144,1278.33073630305,1280.57760205804
2111,"EU",224.871418280831,224.380120710081,225.374795103148
2111,"US",185.337354376781,184.977348643371,185.708914111787
2111,"OT",178.597281601496,178.356233643923,178.843109724392
2111,"EE",371.86150854131,371.652567609665,372.078226658366
2111,"CA",1292.81566739715,1291.97296679289,1293.69793757361
2111,"IA",3868.91654060057,3867.29411298331,3870.61222188839
2111,"AF",7053.04223379188,7034.22360803953,7072.06095170664
2111,"LA",1285.50372803402,1284.17549683099,1286.86954910191
2112,"EU",222.851914723762,222.279547859138,223.437539239559
2112,"US",183.856389489619,183.436555602111,184.289114366476
2112,"OT",177.620266318293,177.338429653506,177.907249853836
2112,"EE",372.839500992108,372.593457306968,373.095131115439
2112,"CA",1289.58321986203,1288.59504100185,1290.61621875403
2112,"IA",3876.65419333112,3874.74441839757,3878.65334209544
2112,"AF",7135.07285024792,7112.72393769246,7157.70712773841
2112,"LA",1291.54574331137,1289.97871217268,1293.15990364634
2113,"EU",220.868361084739,220.210049859509,221.541006056846
2113,"US",182.40036796276,181.917009482248,182.897900368229
2113,"OT",176.657358492629,176.332041063785,176.988113961587
2113,"EE",373.812131245465,373.526116213335,374.109790292012
2113,"CA",1286.38908469806,1285.24515241545,1287.58309838618
2113,"IA",3884.34611441137,3882.12694975094,3886.67280231674
2113,"AF",7217.34586330252,7191.14754520466,7243.93564716318
2113,"LA",1297.56536447965,1295.74037449563,1299.44850802545
2114,"EU",218.91995473253,218.17106182602,219.68413831355
2114,"US",180.968762762231,180.41834838697,181.53456463259
2114,"OT",175.708304783282,175.336908261837,176.085343919757
2114,"EE",374.779411100736,374.450590852299,375.122195806482
2114,"CA",1283.23272698777,1281.92302183847,1284.59773370963
2114,"IA",3891.99247561625,3889.44216885562,3894.67058504566
2114,"AF",7299.85410732995,7269.48412900192,7330.74503908381
2114,"LA",1303.56245846435,1301.46048389256,1305.7352055138
2115,"EU",217.005914510645,216.162030898514,217.865911881279
2115,"US",179.561060250622,178.940217677833,180.198420836371
2115,"OT",174.772857367719,174.352874304411,175.19859086133
2115,"EE",375.741352658387,375.366928082111,376.132339422502
2115,"CA",1280.11362077389,1278.62837344289,1281.65929898754
2115,"IA",3899.59344985709,3896.69053783126,3902.64667361138
2115,"AF",7382.59042323826,7347.7235450778,7418.13377850018
2115,"LA",1309.53689634044,1307.13904820777,1312.01984033304
2116,"EU",215.125480074364,214.182415951647,216.085334538098
2116,"US",178.176759792776,177.482269809069,178.888803078812
2116,"OT",173.850773801418,173.379784866475,174.327514898033
2116,"EE",376.697968313327,376.275175077859,377.140213048189
2116,"CA",1277.0312488813,1275.36093472011,1278.76696848538
2116,"IA",3907.14921114227,3903.8725190085,3910.60105217213
2116,"AF",7465.54766047419,7425.85618396999,7506.10028665561
2116,"LA",1315.48855328935,1312.77608286492,1318.30225765837
2117,"EU",213.277911250772,212.231687312461,214.341444811641
2117,"US",176.815373374566,176.044164166111,177.605065171974
2117,"OT",172.941816881261,172.417488190881,173.471784848032
2117,"EE",377.649270748314,377.175379313957,378.145808735333
2117,"CA",1273.98510274314,1272.12043643393,1275.91989417157
2117,"IA",3914.6599345385,3910.9885748348,3918.53370570848
2117,"AF",7548.71867899216,7503.8723924695,7594.64293139269
2117,"LA",1321.41730855567,1318.37161069605,1324.58230362486
2118,"EU",211.462487420935,210.309326485503,212.633310869647
2118,"US",175.476425234278,174.6255669082,176.346579959081
2118,"OT",172.045754512866,171.465835039109,172.63107797306
2118,"EE",378.595272927436,378.067588547,379.149118678604
2118,"CA",1270.97468223084,1268.90661257421,1273.11729278837
2118,"IA",3922.12579613264,3918.0391677827,3926.44462001661
2118,"AF",7632.09635118691,7581.76257551955,7683.76002751839
2118,"LA",1327.32304540366,1323.92566177214,1330.85982533349
2119,"EU",209.67850692336,208.414825885264,210.960029455772
2119,"US",174.159451506135,173.226150814981,175.112738659588
2119,"OT",171.162359581748,170.524678643081,171.805103946855
2119,"EE",379.53598808967,378.951850798977,380.15013521475
2119,"CA",1267.99949548808,1265.71920031141,1270.35839682521
2119,"IA",3929.54697299416,3925.0247602603,3934.33378170163
2119,"AF",7715.67356378965,7659.51730244802,7773.44983717831
2119,"LA",1333.20565107356,1329.43827323504,1337.13467085708
2120,"EU",207.925286477939,206.547688575745,209.320724868628
2120,"US",172.863999875521,171.845595136965,173.902950239816
2120,"OT",170.29140982816,169.593874658006,170.993576127833
2120,"EE",380.471429742515,379.828214340837,381.148850821792
2120,"CA",1265.05905876842,1262.55793995173,1267.64245414412
2120,"IA",3936.9236431381,3931.94581452409,3942.2011781709
2120,"AF",7799.44321972717,7737.12730821438,7863.71057023977
2120,"LA",1339.06501673776,1334.90948913102,1343.40668924604
2121,"EU",206.20216062959,204.70742801691,207.714547982103
2121,"US",171.589629245481,170.483585449755,172.716640808041
