"year","region","gdppc","gdppc.lb","gdppc.ub"
2015,"EU",34298.9369867296,34298.9369867296,34298.9369867296
2015,"US",52768.8752078742,52768.8752078742,52768.8752078742
2015,"OT",34034.7643990694,34034.7643990694,34034.7643990694
2015,"EE",13542.8331137143,13542.8331137143,13542.8331137143
2015,"CA",9698.5263611013,9698.5263611013,9698.5263611013
2015,"IA",5323.3953456097,5323.3953456097,5323.3953456097
2015,"AF",5372.47659564176,5372.47659564176,5372.47659564176
2015,"LA",12669.7988790675,12669.7988790675,12669.7988790675
2020,"EU",37168.6350917162,37168.6350917162,37168.6350917162
2020,"US",58719.4877626096,58719.4877626096,58719.4877626096
2020,"OT",37393.2892224478,37393.2892224478,37393.2892224478
2020,"EE",16635.9697337452,16635.9697337452,16635.9697337452
2020,"CA",14596.699790922,14596.699790922,14596.699790922
2020,"IA",6901.58977291639,6901.58977291639,6901.58977291639
2020,"AF",5902.62852494309,5902.62852494309,5902.62852494309
2020,"LA",14545.7223754902,14545.7223754902,14545.7223754902
2030,"EU",43178.2355256994,43178.2355256994,43178.2355256994
2030,"US",68482.8042743107,68482.8042743107,68482.8042743107
2030,"OT",44433.5488939257,44433.5488939257,44433.5488939257
2030,"EE",24672.6964693923,24672.6964693923,24672.6964693923
2030,"CA",26413.0054734544,26413.0054734544,26413.0054734544
2030,"IA",11061.2701547352,11061.2701547352,11061.2701547352
2030,"AF",7048.49824446769,7048.49824446769,7048.49824446769
2030,"LA",18637.9279883048,18637.9279883048,18637.9279883048
2040,"EU",49962.1932318223,49962.1932318223,49962.1932318223
2040,"US",75797.5516337677,75797.5516337677,75797.5516337677
2040,"OT",51161.9470284681,51161.9470284681,51161.9470284681
2040,"EE",33676.732760676,33676.732760676,33676.732760676
2040,"CA",38352.2949343175,38352.2949343175,38352.2949343175
2040,"IA",16373.3819304846,16373.3819304846,16373.3819304846
2040,"AF",8425.08664490661,8425.08664490661,8425.08664490661
2040,"LA",23191.6427430407,23191.6427430407,23191.6427430407
2050,"EU",57357.8316908842,57357.8316908842,57357.8316908842
2050,"US",82574.2838390991,82574.2838390991,82574.2838390991
2050,"OT",58101.0512615358,58101.0512615358,58101.0512615358
2050,"EE",40412.3268705574,40412.3268705574,40412.3268705574
2050,"CA",49142.0977741539,49142.0977741539,49142.0977741539
2050,"IA",22262.1669787787,22262.1669787787,22262.1669787787
2050,"AF",9720.01155692504,9720.01155692504,9720.01155692504
2050,"LA",28159.8138937206,28159.8138937206,28159.8138937206
2075,"EU",82814.0814198438,82814.0814198438,82814.0814198438
2075,"US",104593.066925839,104593.066925839,104593.066925839
2075,"OT",80841.6291012217,80841.6291012217,80841.6291012217
2075,"EE",58636.0779215274,58636.0779215274,58636.0779215274
2075,"CA",69738.6056028388,69738.6056028388,69738.6056028388
2075,"IA",38076.0834875777,38076.0834875777,38076.0834875777
2075,"AF",14419.187506115,14419.187506115,14419.187506115
2075,"LA",42708.8835689795,42708.8835689795,42708.8835689795
2100,"EU",119273.976453029,119273.976453029,119273.976453029
2100,"US",140239.312676165,140239.312676165,140239.312676165
2100,"OT",113878.628721421,113878.628721421,113878.628721421
2100,"EE",82192.077936489,82192.077936489,82192.077936489
