"Region","year","value","value.lb","value.ub"
"HRV",2015,4.372,4.372,4.372
"HTI",2015,10.662,10.662,10.662
"HUN",2015,9.8,9.8,9.8
"IDN",2015,252.27,252.27,252.27
"IND",2015,1315.803,1315.803,1315.803
"IRL",2015,4.73,4.73,4.73
"IRN",2015,78.792,78.792,78.792
"IRQ",2015,36.628,36.628,36.628
"ISL",2015,0.342,0.342,0.342
"ISR",2015,8.218,8.218,8.218
"ITA",2015,61.02,61.02,61.02
"JAM",2015,2.818,2.818,2.818
"JOR",2015,7.057,7.057,7.057
"JPN",2015,125.556,125.556,125.556
"KAZ",2015,16.895,16.895,16.895
"KEN",2015,46.243,46.243,46.243
"KGZ",2015,5.653,5.653,5.653
"KHM",2015,14.965,14.965,14.965
"KOR",2015,48.744,48.744,48.744
"KWT",2015,3.149,3.149,3.149
"LAO",2015,6.681,6.681,6.681
"LBN",2015,4.404,4.404,4.404
"LBR",2015,4.83,4.83,4.83
"LBY",2015,6.958,6.958,6.958
"LCA",2015,0.184,0.184,0.184
"LKA",2015,21.773,21.773,21.773
"LSO",2015,2.275,2.275,2.275
"LTU",2015,3.266,3.266,3.266
"LUX",2015,0.545,0.545,0.545
"LVA",2015,2.187,2.187,2.187
"MAC",2015,0.584,0.584,0.584
"MAR",2015,33.701,33.701,33.701
"MDA",2015,3.407,3.407,3.407
"MDG",2015,23.816,23.816,23.816
"MDV",2015,0.34,0.34,0.34
"MEX",2015,120.794,120.794,120.794
"MKD",2015,2.094,2.094,2.094
"MLI",2015,17.99,17.99,17.99
"MLT",2015,0.424,0.424,0.424
"MMR",2015,49.443,49.443,49.443
"MNE",2015,0.642,0.642,0.642
"MNG",2015,2.978,2.978,2.978
"MOZ",2015,26.099,26.099,26.099
"MRT",2015,3.879,3.879,3.879
"MUS",2015,1.335,1.335,1.335
"MWI",2015,17.407,17.407,17.407
"MYS",2015,30.806,30.806,30.806
"NAM",2015,2.475,2.475,2.475
"NCL",2015,0.27,0.27,0.27
"NER",2015,18.593,18.593,18.593
"NGA",2015,180.443,180.443,180.443
"NIC",2015,6.188,6.188,6.188
"NLD",2015,16.848,16.848,16.848
"NOR",2015,5.099,5.099,5.099
"NPL",2015,33.131,33.131,33.131
"NZL",2015,4.578,4.578,4.578
"OMN",2015,3.052,3.052,3.052
"PAK",2015,191.535,191.535,191.535
"PAN",2015,3.788,3.788,3.788
"PER",2015,30.653,30.653,30.653
"PHL",2015,102.087,102.087,102.087
"PNG",2015,7.584,7.584,7.584
"POL",2015,38.236,38.236,38.236
"PRI",2015,3.741,3.741,3.741
"PRT",2015,10.732,10.732,10.732
"PRY",2015,7.032,7.032,7.032
"PSE",2015,4.542,4.542,4.542
