"Region","year","value","value.lb","value.ub"
"ABW",2015,0.119,0.119,0.119
"AFG",2015,35.269,35.269,35.269
"AGO",2015,21.792,21.792,21.792
"ALB",2015,3.221,3.221,3.221
"ARE",2015,10.016,10.016,10.016
"ARG",2015,41.83,41.83,41.83
"ARM",2015,3.055,3.055,3.055
"AUS",2015,24.43,24.43,24.43
"AUT",2015,8.614,8.614,8.614
"AZE",2015,9.673,9.673,9.673
"BDI",2015,9.634,9.634,9.634
"BEL",2015,11.088,11.088,11.088
"BEN",2015,10.051,10.051,10.051
"BFA",2015,18.623,18.623,18.623
"BGD",2015,155.919,155.919,155.919
"BGR",2015,7.262,7.262,7.262
"BHR",2015,1.673,1.673,1.673
"BHS",2015,0.365,0.365,0.365
"BIH",2015,3.742,3.742,3.742
"BLR",2015,9.415,9.415,9.415
"BLZ",2015,0.336,0.336,0.336
"BOL",2015,10.522,10.522,10.522
"BRA",2015,202.206,202.206,202.206
"BRB",2015,0.276,0.276,0.276
"BRN",2015,0.429,0.429,0.429
"BTN",2015,0.795,0.795,0.795
"BWA",2015,2.119,2.119,2.119
"CAF",2015,4.769,4.769,4.769
"CAN",2015,36.209,36.209,36.209
"CHE",2015,7.955,7.955,7.955
"CHL",2015,17.815,17.815,17.815
"CHN",2015,1360.357,1360.357,1360.357
"CIV",2015,21.145,21.145,21.145
"CMR",2015,21.42,21.42,21.42
"COD",2015,74.754,74.754,74.754
"COG",2015,4.525,4.525,4.525
"COL",2015,49.065,49.065,49.065
"COM",2015,0.806,0.806,0.806
"CPV",2015,0.508,0.508,0.508
"CRI",2015,4.985,4.985,4.985
"CUB",2015,11.143,11.143,11.143
"CYP",2015,1.182,1.182,1.182
"CZE",2015,10.843,10.843,10.843
"DEU",2015,82.571,82.571,82.571
"DJI",2015,0.961,0.961,0.961
"DNK",2015,5.72,5.72,5.72
"DOM",2015,10.424,10.424,10.424
"DZA",2015,37.823,37.823,37.823
"ECU",2015,15.318,15.318,15.318
"EGY",2015,87.503,87.503,87.503
"ERI",2015,6.015,6.015,6.015
"ESP",2015,48.231,48.231,48.231
"EST",2015,1.34,1.34,1.34
"ETH",2015,91.699,91.699,91.699
"FIN",2015,5.53,5.53,5.53
"FJI",2015,0.879,0.879,0.879
"FRA",2015,67.361,67.361,67.361
"GAB",2015,1.623,1.623,1.623
"GBR",2015,64.632,64.632,64.632
"GEO",2015,4.221,4.221,4.221
"GHA",2015,26.92,26.92,26.92
"GIN",2015,10.696,10.696,10.696
"GMB",2015,1.931,1.931,1.931
"GNB",2015,1.642,1.642,1.642
"GNQ",2015,0.793,0.793,0.793
"GRC",2015,11.512,11.512,11.512
"GTM",2015,15.702,15.702,15.702
"GUY",2015,0.753,0.753,0.753
"HKG",2015,7.392,7.392,7.392
"HND",2015,8.171,8.171,8.171
"HRV",2015,4.374,4.374,4.374
"HTI",2015,10.458,10.458,10.458
"HUN",2015,9.907,9.907,9.907
"IDN",2015,250.343,250.343,250.343
"IND",2015,1297.665,1297.665,1297.665
"IRL",2015,4.807,4.807,4.807
"IRN",2015,77.986,77.986,77.986
"IRQ",2015,35.683,35.683,35.683
"ISL",2015,0.348,0.348,0.348
"ISR",2015,8.409,8.409,8.409
"ITA",2015,61.932,61.932,61.932
"JAM",2015,2.757,2.757,2.757
"JOR",2015,7.056,7.056,7.056
"JPN",2015,126.661,126.661,126.661
"KAZ",2015,16.777,16.777,16.777
"KEN",2015,45.16,45.16,45.16
"KGZ",2015,5.544,5.544,5.544
"KHM",2015,14.712,14.712,14.712
"KOR",2015,49.074,49.074,49.074
"KWT",2015,3.207,3.207,3.207
"LAO",2015,6.57,6.57,6.57
"LBN",2015,4.372,4.372,4.372
"LBR",2015,4.842,4.842,4.842
"LBY",2015,6.888,6.888,6.888
"LCA",2015,0.182,0.182,0.182
"LKA",2015,21.552,21.552,21.552
"LSO",2015,2.25,2.25,2.25
"LTU",2015,3.246,3.246,3.246
"LUX",2015,0.561,0.561,0.561
"LVA",2015,2.182,2.182,2.182
"MAC",2015,0.592,0.592,0.592
"MAR",2015,33.053,33.053,33.053
"MDA",2015,3.344,3.344,3.344
"MDG",2015,23.336,23.336,23.336
"MDV",2015,0.337,0.337,0.337
"MEX",2015,118.967,118.967,118.967
"MKD",2015,2.092,2.092,2.092
"MLI",2015,17.468,17.468,17.468
"MLT",2015,0.426,0.426,0.426
"MMR",2015,48.855,48.855,48.855
"MNE",2015,0.64,0.64,0.64
"MNG",2015,2.939,2.939,2.939
"MOZ",2015,25.625,25.625,25.625
"MRT",2015,3.836,3.836,3.836
"MUS",2015,1.33,1.33,1.33
"MWI",2015,17.082,17.082,17.082
"MYS",2015,30.57,30.57,30.57
"NAM",2015,2.454,2.454,2.454
"NCL",2015,0.271,0.271,0.271
"NER",2015,18.105,18.105,18.105
"NGA",2015,177.351,177.351,177.351
"NIC",2015,6.014,6.014,6.014
"NLD",2015,17.027,17.027,17.027
"NOR",2015,5.204,5.204,5.204
"NPL",2015,32.473,32.473,32.473
"NZL",2015,4.644,4.644,4.644
"OMN",2015,3.046,3.046,3.046
"PAK",2015,187.909,187.909,187.909
"PAN",2015,3.755,3.755,3.755
"PER",2015,30.051,30.051,30.051
"PHL",2015,100.481,100.481,100.481
"PNG",2015,7.502,7.502,7.502
"POL",2015,38.559,38.559,38.559
"PRI",2015,3.67,3.67,3.67
"PRT",2015,10.87,10.87,10.87
"PRY",2015,6.922,6.922,6.922
"PSE",2015,4.413,4.413,4.413
"PYF",2015,0.285,0.285,0.285
"QAT",2015,2.376,2.376,2.376
"ROU",2015,21.104,21.104,21.104
"RUS",2015,142.581,142.581,142.581
"RWA",2015,12.019,12.019,12.019
"SAU",2015,31.111,31.111,31.111
"SDN",2015,48.528,48.528,48.528
"SEN",2015,13.795,13.795,13.795
"SGP",2015,5.578,5.578,5.578
"SLB",2015,0.596,0.596,0.596
"SLE",2015,6.53,6.53,6.53
"SLV",2015,6.218,6.218,6.218
"SOM",2015,10.105,10.105,10.105
"SRB",2015,9.773,9.773,9.773
"STP",2015,0.173,0.173,0.173
"SUR",2015,0.545,0.545,0.545
"SVK",2015,5.567,5.567,5.567
"SVN",2015,2.079,2.079,2.079
"SWE",2015,9.867,9.867,9.867
"SWZ",2015,1.253,1.253,1.253
"SYR",2015,22.089,22.089,22.089
"TCD",2015,12.66,12.66,12.66
"TGO",2015,6.593,6.593,6.593
"THA",2015,71.061,71.061,71.061
"TJK",2015,7.117,7.117,7.117
"TKM",2015,5.286,5.286,5.286
"TLS",2015,1.224,1.224,1.224
"TON",2015,0.104,0.104,0.104
"TTO",2015,1.352,1.352,1.352
"TUN",2015,10.961,10.961,10.961
"TUR",2015,76.627,76.627,76.627
"TWN",2015,23.57,23.57,23.57
"TZA",2015,50.545,50.545,50.545
"UGA",2015,38.443,38.443,38.443
"UKR",2015,44.102,44.102,44.102
"URY",2015,3.38,3.38,3.38
"USA",2015,325.187,325.187,325.187
"UZB",2015,28.581,28.581,28.581
"VCT",2015,0.108,0.108,0.108
"VEN",2015,30.973,30.973,30.973
"VNM",2015,91.953,91.953,91.953
"VUT",2015,0.264,0.264,0.264
"WSM",2015,0.181,0.181,0.181
"YEM",2015,27.57,27.57,27.57
"ZAF",2015,52.526,52.526,52.526
"ZMB",2015,14.702,14.702,14.702
"ZWE",2015,12.556,12.556,12.556
"ABW",2016,0.120558632551459,0.120558632551459,0.120558632551459
"AFG",2016,36.0309580427954,36.0309580427954,36.0309580427954
"AGO",2016,22.3330575730861,22.3330575730861,22.3330575730861
"ALB",2016,3.21999937849587,3.21999937849587,3.21999937849587
"ARE",2016,10.3034237060923,10.3034237060923,10.3034237060923
"ARG",2016,42.0477217250886,42.0477217250886,42.0477217250886
"ARM",2016,3.03842103134938,3.03842103134938,3.03842103134938
"AUS",2016,24.894961285728,24.894961285728,24.894961285728
"AUT",2016,8.66440660833791,8.66440660833791,8.66440660833791
"AZE",2016,9.74744525716276,9.74744525716276,9.74744525716276
"BDI",2016,9.87539591568681,9.87539591568681,9.87539591568681
"BEL",2016,11.1721140949637,11.1721140949637,11.1721140949637
"BEN",2016,10.2859554138344,10.2859554138344,10.2859554138344
"BFA",2016,19.0327664598012,19.0327664598012,19.0327664598012
"BGD",2016,157.228034413316,157.228034413316,157.228034413316
"BGR",2016,7.22032439632711,7.22032439632711,7.22032439632711
"BHR",2016,1.72611816473615,1.72611816473615,1.72611816473615
"BHS",2016,0.369297599415043,0.369297599415043,0.369297599415043
"BIH",2016,3.73577935211915,3.73577935211915,3.73577935211915
"BLR",2016,9.37607954266044,9.37607954266044,9.37607954266044
"BLZ",2016,0.339333208090467,0.339333208090467,0.339333208090467
"BOL",2016,10.6091445119416,10.6091445119416,10.6091445119416
"BRA",2016,203.349982378289,203.349982378289,203.349982378289
"BRB",2016,0.276199710773454,0.276199710773454,0.276199710773454
"BRN",2016,0.434459275622174,0.434459275622174,0.434459275622174
"BTN",2016,0.808718319958852,0.808718319958852,0.808718319958852
"BWA",2016,2.14132461817619,2.14132461817619,2.14132461817619
"CAF",2016,4.84099330194246,4.84099330194246,4.84099330194246
"CAN",2016,36.727345408342,36.727345408342,36.727345408342
"CHE",2016,8.0158615765205,8.0158615765205,8.0158615765205
"CHL",2016,17.9322465316543,17.9322465316543,17.9322465316543
"CHN",2016,1362.46903171126,1362.46903171126,1362.46903171126
"CIV",2016,21.3672774307267,21.3672774307267,21.3672774307267
"CMR",2016,21.7527029028915,21.7527029028915,21.7527029028915
"COD",2016,76.4911640231941,76.4911640231941,76.4911640231941
"COG",2016,4.61679900188537,4.61679900188537,4.61679900188537
"COL",2016,49.5254753735168,49.5254753735168,49.5254753735168
"COM",2016,0.815760713935257,0.815760713935257,0.815760713935257
"CPV",2016,0.508797492153762,0.508797492153762,0.508797492153762
"CRI",2016,5.04475038820152,5.04475038820152,5.04475038820152
"CUB",2016,11.1014919114396,11.1014919114396,11.1014919114396
"CYP",2016,1.1977733648326,1.1977733648326,1.1977733648326
"CZE",2016,10.9162048416033,10.9162048416033,10.9162048416033
"DEU",2016,82.7176779601586,82.7176779601586,82.7176779601586
"DJI",2016,0.974986886340446,0.974986886340446,0.974986886340446
"DNK",2016,5.76139646356822,5.76139646356822,5.76139646356822
"DOM",2016,10.4985266922246,10.4985266922246,10.4985266922246
"DZA",2016,38.2228557878986,38.2228557878986,38.2228557878986
"ECU",2016,15.4557018885304,15.4557018885304,15.4557018885304
"EGY",2016,88.6047064412605,88.6047064412605,88.6047064412605
"ERI",2016,6.15857983070611,6.15857983070611,6.15857983070611
"ESP",2016,48.550927446625,48.550927446625,48.550927446625
"EST",2016,1.34039976140766,1.34039976140766,1.34039976140766
"ETH",2016,93.4121794176504,93.4121794176504,93.4121794176504
"FIN",2016,5.56943358561012,5.56943358561012,5.56943358561012
"FJI",2016,0.87939963644615,0.87939963644615,0.87939963644615
"FRA",2016,67.9161730625811,67.9161730625811,67.9161730625811
"GAB",2016,1.64537453013225,1.64537453013225,1.64537453013225
"GBR",2016,65.19645435648,65.19645435648,65.19645435648
"GEO",2016,4.18229672033481,4.18229672033481,4.18229672033481
"GHA",2016,27.3730892796892,27.3730892796892,27.3730892796892
"GIN",2016,10.8064934236004,10.8064934236004,10.8064934236004
"GMB",2016,1.96554191743688,1.96554191743688,1.96554191743688
"GNB",2016,1.66457089363637,1.66457089363637,1.66457089363637
"GNQ",2016,0.811879397450861,0.811879397450861,0.811879397450861
"GRC",2016,11.5275578917076,11.5275578917076,11.5275578917076
"GTM",2016,15.9041286564171,15.9041286564171,15.9041286564171
"GUY",2016,0.751393156863016,0.751393156863016,0.751393156863016
"HKG",2016,7.46205934723007,7.46205934723007,7.46205934723007
"HND",2016,8.25984674019997,8.25984674019997,8.25984674019997
"HRV",2016,4.36758118851262,4.36758118851262,4.36758118851262
"HTI",2016,10.5239626316134,10.5239626316134,10.5239626316134
"HUN",2016,9.90379793076937,9.90379793076937,9.90379793076937
"IDN",2016,252.030690893512,252.030690893512,252.030690893512
"IND",2016,1310.0351029804,1310.0351029804,1310.0351029804
"IRL",2016,4.87391114800012,4.87391114800012,4.87391114800012
"IRN",2016,78.624266519622,78.624266519622,78.624266519622
"IRQ",2016,36.4048018461442,36.4048018461442,36.4048018461442
"ISL",2016,0.353803198797322,0.353803198797322,0.353803198797322
"ISR",2016,8.61849800378119,8.61849800378119,8.61849800378119
"ITA",2016,62.1228204862622,62.1228204862622,62.1228204862622
"JAM",2016,2.75298834240369,2.75298834240369,2.75298834240369
"JOR",2016,7.23236079906234,7.23236079906234,7.23236079906234
"JPN",2016,126.613965080612,126.613965080612,126.613965080612
"KAZ",2016,16.8986237628825,16.8986237628825,16.8986237628825
"KEN",2016,46.0062819913663,46.0062819913663,46.0062819913663
"KGZ",2016,5.56700823221696,5.56700823221696,5.56700823221696
"KHM",2016,14.7977935319989,14.7977935319989,14.7977935319989
"KOR",2016,49.2390855574907,49.2390855574907,49.2390855574907
"KWT",2016,3.29215599337885,3.29215599337885,3.29215599337885
"LAO",2016,6.63086190422891,6.63086190422891,6.63086190422891
"LBN",2016,4.39613212140338,4.39613212140338,4.39613212140338
"LBR",2016,5.00679434572283,5.00679434572283,5.00679434572283
"LBY",2016,6.97554612160525,6.97554612160525,6.97554612160525
"LCA",2016,0.182989188714308,0.182989188714308,0.182989188714308
"LKA",2016,21.6310184438374,21.6310184438374,21.6310184438374
"LSO",2016,2.26597163524602,2.26597163524602,2.26597163524602
"LTU",2016,3.2288190846649,3.2288190846649,3.2288190846649
"LUX",2016,0.57177784278535,0.57177784278535,0.57177784278535
"LVA",2016,2.16925190914578,2.16925190914578,2.16925190914578
"MAC",2016,0.597881950011177,0.597881950011177,0.597881950011177
"MAR",2016,33.1792321288829,33.1792321288829,33.1792321288829
"MDA",2016,3.29646780950054,3.29646780950054,3.29646780950054
"MDG",2016,23.8304023793817,23.8304023793817,23.8304023793817
"MDV",2016,0.341099062705365,0.341099062705365,0.341099062705365
"MEX",2016,119.806080078481,119.806080078481,119.806080078481
"MKD",2016,2.0987562197314,2.0987562197314,2.0987562197314
"MLI",2016,17.8643964613165,17.8643964613165,17.8643964613165
"MLT",2016,0.427784978744757,0.427784978744757,0.427784978744757
"MMR",2016,48.9232092721331,48.9232092721331,48.9232092721331
"MNE",2016,0.641987615920795,0.641987615920795,0.641987615920795
"MNG",2016,2.96782885649812,2.96782885649812,2.96782885649812
"MOZ",2016,26.0532451157657,26.0532451157657,26.0532451157657
"MRT",2016,3.90264378122445,3.90264378122445,3.90264378122445
"MUS",2016,1.33555342914364,1.33555342914364,1.33555342914364
"MWI",2016,17.5270025926668,17.5270025926668,17.5270025926668
"MYS",2016,30.9648665604524,30.9648665604524,30.9648665604524
"NAM",2016,2.48500649776184,2.48500649776184,2.48500649776184
"NCL",2016,0.274886891696927,0.274886891696927,0.274886891696927
"NER",2016,18.6239815172228,18.6239815172228,18.6239815172228
"NGA",2016,181.233086759015,181.233086759015,181.233086759015
"NIC",2016,6.03347347977522,6.03347347977522,6.03347347977522
"NLD",2016,17.1279947816962,17.1279947816962,17.1279947816962
"NOR",2016,5.27768366571356,5.27768366571356,5.27768366571356
"NPL",2016,32.9320373674898,32.9320373674898,32.9320373674898
"NZL",2016,4.70326779179563,4.70326779179563,4.70326779179563
"OMN",2016,3.09274319519663,3.09274319519663,3.09274319519663
"PAK",2016,190.551241197217,190.551241197217,190.551241197217
"PAN",2016,3.79704771288171,3.79704771288171,3.79704771288171
"PER",2016,30.1507357762754,30.1507357762754,30.1507357762754
"PHL",2016,101.835202993076,101.835202993076,101.835202993076
"PNG",2016,7.61683044158572,7.61683044158572,7.61683044158572
"POL",2016,38.6213977239228,38.6213977239228,38.6213977239228
"PRI",2016,3.64506342118562,3.64506342118562,3.64506342118562
"PRT",2016,10.9179746553919,10.9179746553919,10.9179746553919
"PRY",2016,7.00078599079479,7.00078599079479,7.00078599079479
"PSE",2016,4.46724970213521,4.46724970213521,4.46724970213521
"PYF",2016,0.287360570945124,0.287360570945124,0.287360570945124
"QAT",2016,2.4322708034941,2.4322708034941,2.4322708034941
"ROU",2016,21.014443132179,21.014443132179,21.014443132179
"RUS",2016,142.46481078915,142.46481078915,142.46481078915
"RWA",2016,12.2787293388839,12.2787293388839,12.2787293388839
"SAU",2016,31.832728122448,31.832728122448,31.832728122448
"SDN",2016,49.4499009733397,49.4499009733397,49.4499009733397
"SEN",2016,14.0160043896612,14.0160043896612,14.0160043896612
"SGP",2016,5.62364677343807,5.62364677343807,5.62364677343807
"SLB",2016,0.605867789153085,0.605867789153085,0.605867789153085
"SLE",2016,6.65900141540744,6.65900141540744,6.65900141540744
"SLV",2016,6.19787008563789,6.19787008563789,6.19787008563789
"SOM",2016,10.2147882947923,10.2147882947923,10.2147882947923
"SRB",2016,9.7635818651746,9.7635818651746,9.7635818651746
"STP",2016,0.173792702166381,0.173792702166381,0.173792702166381
"SUR",2016,0.548163070636132,0.548163070636132,0.548163070636132
"SVK",2016,5.59158194850167,5.59158194850167,5.59158194850167
"SVN",2016,2.09008124084053,2.09008124084053,2.09008124084053
"SWE",2016,9.98303843081107,9.98303843081107,9.98303843081107
"SWZ",2016,1.26535397770888,1.26535397770888,1.26535397770888
"SYR",2016,22.393110245775,22.393110245775,22.393110245775
"TCD",2016,12.9421410034292,12.9421410034292,12.9421410034292
"TGO",2016,6.70343767708028,6.70343767708028,6.70343767708028
"THA",2016,71.3726543214985,71.3726543214985,71.3726543214985
"TJK",2016,7.13391936315829,7.13391936315829,7.13391936315829
"TKM",2016,5.32365956010841,5.32365956010841,5.32365956010841
"TLS",2016,1.23959738821705,1.23959738821705,1.23959738821705
"TON",2016,0.103799226301271,0.103799226301271,0.103799226301271
"TTO",2016,1.35099851741909,1.35099851741909,1.35099851741909
"TUN",2016,11.0400514969167,11.0400514969167,11.0400514969167
"TUR",2016,77.247663720472,77.247663720472,77.247663720472
"TWN",2016,23.6413665147064,23.6413665147064,23.6413665147064
"TZA",2016,51.6075752193136,51.6075752193136,51.6075752193136
"UGA",2016,39.4301814221279,39.4301814221279,39.4301814221279
"UKR",2016,43.8554589149672,43.8554589149672,43.8554589149672
"URY",2016,3.37659313904823,3.37659313904823,3.37659313904823
"USA",2016,328.663277786192,328.663277786192,328.663277786192
"UZB",2016,28.7359116037206,28.7359116037206,28.7359116037206
"VCT",2016,0.107597003682365,0.107597003682365,0.107597003682365
"VEN",2016,31.3119019752214,31.3119019752214,31.3119019752214
"VNM",2016,92.5982797281085,92.5982797281085,92.5982797281085
"VUT",2016,0.268447597061222,0.268447597061222,0.268447597061222
"WSM",2016,0.180192832931376,0.180192832931376,0.180192832931376
"YEM",2016,28.2138203292345,28.2138203292345,28.2138203292345
"ZAF",2016,53.0338829571943,53.0338829571943,53.0338829571943
"ZMB",2016,15.0148032254117,15.0148032254117,15.0148032254117
"ZWE",2016,12.5483907828756,12.5483907828756,12.5483907828756
"ABW",2017,0.122137679686366,0.122137679686366,0.122137679686366
"AFG",2017,36.8093775690177,36.8093775690177,36.8093775690177
"AGO",2017,22.8875486675283,22.8875486675283,22.8875486675283
"ALB",2017,3.21899906784036,3.21899906784036,3.21899906784036
"ARE",2017,10.599095454,10.599095454,10.599095454
"ARG",2017,42.2665766739299,42.2665766739299,42.2665766739299
"ARM",2017,3.02193203395948,3.02193203395948,3.02193203395948
"AUS",2017,25.3687718959433,25.3687718959433,25.3687718959433
"AUT",2017,8.71510818140348,8.71510818140348,8.71510818140348
"AZE",2017,9.82246345925615,9.82246345925615,9.82246345925615
"BDI",2017,10.1228404080926,10.1228404080926,10.1228404080926
"BEL",2017,11.2568662834494,11.2568662834494,11.2568662834494
"BEN",2017,10.5264032211113,10.5264032211113,10.5264032211113
"BFA",2017,19.45154911203,19.45154911203,19.45154911203
"BGD",2017,158.548058963146,158.548058963146,158.548058963146
"BGR",2017,7.17888796312261,7.17888796312261,7.17888796312261
"BHR",2017,1.78092284437064,1.78092284437064,1.78092284437064
"BHS",2017,0.373645799818393,0.373645799818393,0.373645799818393
"BIH",2017,3.72956904535537,3.72956904535537,3.72956904535537
"BLR",2017,9.33731997772656,9.33731997772656,9.33731997772656
"BLZ",2017,0.342699482479072,0.342699482479072,0.342699482479072
"BOL",2017,10.6970107655637,10.6970107655637,10.6970107655637
"BRA",2017,204.500436847821,204.500436847821,204.500436847821
"BRB",2017,0.276399566055577,0.276399566055577,0.276399566055577
"BRN",2017,0.439988023715955,0.439988023715955,0.439988023715955
"BTN",2017,0.822673359795053,0.822673359795053,0.822673359795053
"BWA",2017,2.163884436247,2.163884436247,2.163884436247
"CAF",2017,4.91407342198612,4.91407342198612,4.91407342198612
"CAN",2017,37.2531111255119,37.2531111255119,37.2531111255119
"CHE",2017,8.07718878867854,8.07718878867854,8.07718878867854
"CHL",2017,18.0502647023311,18.0502647023311,18.0502647023311
"CHN",2017,1364.58434247202,1364.58434247202,1364.58434247202
"CIV",2017,21.5918914543221,21.5918914543221,21.5918914543221
"CMR",2017,22.0905734631869,22.0905734631869,22.0905734631869
"COD",2017,78.2686969743852,78.2686969743852,78.2686969743852
"COG",2017,4.71046033675354,4.71046033675354,4.71046033675354
"COL",2017,49.9902723116848,49.9902723116848,49.9902723116848
"COM",2017,0.82563963076943,0.82563963076943,0.82563963076943
"CPV",2017,0.509596236263696,0.509596236263696,0.509596236263696
"CRI",2017,5.10521694669195,5.10521694669195,5.10521694669195
"CUB",2017,11.0601384420496,11.0601384420496,11.0601384420496
"CYP",2017,1.21375721954519,1.21375721954519,1.21375721954519
"CZE",2017,10.9899039144004,10.9899039144004,10.9899039144004
"DEU",2017,82.8646164769775,82.8646164769775,82.8646164769775
"DJI",2017,0.989177344990466,0.989177344990466,0.989177344990466
"DNK",2017,5.80309251930357,5.80309251930357,5.80309251930357
"DOM",2017,10.5735862152103,10.5735862152103,10.5735862152103
"DZA",2017,38.6269387563781,38.6269387563781,38.6269387563781
"ECU",2017,15.594641654728,15.594641654728,15.594641654728
"EGY",2017,89.7202839164594,89.7202839164594,89.7202839164594
"ERI",2017,6.30558695447716,6.30558695447716,6.30558695447716
"ESP",2017,48.8729770464525,48.8729770464525,48.8729770464525
"EST",2017,1.34079964207591,1.34079964207591,1.34079964207591
"ETH",2017,95.1573655498457,95.1573655498457,95.1573655498457
"FIN",2017,5.60914836609801,5.60914836609801,5.60914836609801
"FJI",2017,0.879799454586598,0.879799454586598,0.879799454586598
"FRA",2017,68.475921727208,68.475921727208,68.475921727208
"GAB",2017,1.66805751349841,1.66805751349841,1.66805751349841
"GBR",2017,65.7658382945999,65.7658382945999,65.7658382945999
"GEO",2017,4.14394831957434,4.14394831957434,4.14394831957434
"GHA",2017,27.8338044841691,27.8338044841691,27.8338044841691
"GIN",2017,10.9181282829392,10.9181282829392,10.9181282829392
"GMB",2017,2.00070172408153,2.00070172408153,2.00070172408153
"GNB",2017,1.68745204624932,1.68745204624932,1.68745204624932
"GNQ",2017,0.831208267345741,0.831208267345741,0.831208267345741
"GRC",2017,11.543136809127,11.543136809127,11.543136809127
"GTM",2017,16.1088592739694,16.1088592739694,16.1088592739694
"GUY",2017,0.749789742603677,0.749789742603677,0.749789742603677
"HKG",2017,7.53278269772507,7.53278269772507,7.53278269772507
"HND",2017,8.34965954859773,8.34965954859773,8.34965954859773
"HRV",2017,4.36117179658191,4.36117179658191,4.36117179658191
"HTI",2017,10.5903413149354,10.5903413149354,10.5903413149354
"HUN",2017,9.90059689648852,9.90059689648852,9.90059689648852
"IDN",2017,253.729759379175,253.729759379175,253.729759379175
"IND",2017,1322.52312502908,1322.52312502908,1322.52312502908
"IRL",2017,4.94175366727686,4.94175366727686,4.94175366727686
"IRN",2017,79.2677568505699,79.2677568505699,79.2677568505699
"IRQ",2017,37.1412044238721,37.1412044238721,37.1412044238721
"ISL",2017,0.359703170917292,0.359703170917292,0.359703170917292
"ISR",2017,8.83321534560356,8.83321534560356,8.83321534560356
"ITA",2017,62.3142289150739,62.3142289150739,62.3142289150739
"JAM",2017,2.74898252209308,2.74898252209308,2.74898252209308
"JOR",2017,7.41312963829558,7.41312963829558,7.41312963829558
"JPN",2017,126.566947627403,126.566947627403,126.566947627403
"KAZ",2017,17.0211292292697,17.0211292292697,17.0211292292697
"KEN",2017,46.8684229997589,46.8684229997589,46.8684229997589
"KGZ",2017,5.5901119512214,5.5901119512214,5.5901119512214
"KHM",2017,14.8840873719186,14.8840873719186,14.8840873719186
"KOR",2017,49.4047264648874,49.4047264648874,49.4047264648874
"KWT",2017,3.3795731477207,3.3795731477207,3.3795731477207
"LAO",2017,6.69228760927767,6.69228760927767,6.69228760927767
"LBN",2017,4.42039744483865,4.42039744483865,4.42039744483865
"LBR",2017,5.17719736066958,5.17719736066958,5.17719736066958
"LBY",2017,7.06420494986092,7.06420494986092,7.06420494986092
"LCA",2017,0.183983753770993,0.183983753770993,0.183983753770993
"LKA",2017,21.7103266015978,21.7103266015978,21.7103266015978
"LSO",2017,2.28205664521756,2.28205664521756,2.28205664521756
"LTU",2017,3.21172910705368,3.21172910705368,3.21172910705368
"LUX",2017,0.582762747772314,0.582762747772314,0.582762747772314
"LVA",2017,2.15657829758598,2.15657829758598,2.15657829758598
"MAC",2017,0.603822341468188,0.603822341468188,0.603822341468188
"MAR",2017,33.3059463486611,33.3059463486611,33.3059463486611
"MDA",2017,3.24961124972288,3.24961124972288,3.24961124972288
"MDG",2017,24.3352792922198,24.3352792922198,24.3352792922198
"MDV",2017,0.345247983912399,0.345247983912399,0.345247983912399
"MEX",2017,120.651078229857,120.651078229857,120.651078229857
"MKD",2017,2.10553425901589,2.10553425901589,2.10553425901589
"MLI",2017,18.2697882371822,18.2697882371822,18.2697882371822
"MLT",2017,0.4295774367128,0.4295774367128,0.4295774367128
"MMR",2017,48.9915137751494,48.9915137751494,48.9915137751494
"MNE",2017,0.643981404680728,0.643981404680728,0.643981404680728
