"Region","year","value","value.lb","value.ub"
"ABW",2015,1737.28813559322,1737.28813559322,1737.28813559322
"AFG",2015,1347.67641996558,1347.67641996558,1347.67641996558
"AGO",2015,5845.57191392979,5845.57191392979,5845.57191392979
"ALB",2015,8331.99257425743,8331.99257425743,8331.99257425743
"ARE",2015,45280.5881143327,45280.5881143327,45280.5881143327
"ARG",2015,17101.73170499,17101.73170499,17101.73170499
"ARM",2015,5913.92239973916,5913.92239973916,5913.92239973916
"AUS",2015,38967.6079734219,38967.6079734219,38967.6079734219
"AUT",2015,38627.7380812932,38627.7380812932,38627.7380812932
"AZE",2015,9449.89648033126,9449.89648033126,9449.89648033126
"BDI",2015,597.50309533636,597.50309533636,597.50309533636
"BEL",2015,35067.8089682829,35067.8089682829,35067.8089682829
"BEN",2015,1495.79009203055,1495.79009203055,1495.79009203055
"BFA",2015,1336.22536977996,1336.22536977996,1336.22536977996
"BGD",2015,1916.54997346429,1916.54997346429,1916.54997346429
"BGR",2015,13228.5320468642,13228.5320468642,13228.5320468642
"BHR",2015,21621.472392638,21621.472392638,21621.472392638
"BHS",2015,29840.6593406593,29840.6593406593,29840.6593406593
"BIH",2015,8230.06955591225,8230.06955591225,8230.06955591225
"BLR",2015,15417.1185539607,15417.1185539607,15417.1185539607
"BLZ",2015,6728.0701754386,6728.0701754386,6728.0701754386
"BOL",2015,5137.75462747651,5137.75462747651,5137.75462747651
"BRA",2015,11387.4854390018,11387.4854390018,11387.4854390018
"BRB",2015,18425.4545454545,18425.4545454545,18425.4545454545
"BRN",2015,48365.9673659674,48365.9673659674,48365.9673659674
"BTN",2015,7130.0505050505,7130.0505050505,7130.0505050505
"BWA",2015,14600.1899335233,14600.1899335233,14600.1899335233
"CAF",2015,799.091472227958,799.091472227958,799.091472227958
"CAN",2015,37752.5092962787,37752.5092962787,37752.5092962787
"CHE",2015,40823.9249016872,40823.9249016872,40823.9249016872
"CHL",2015,16541.1150998429,16541.1150998429,16541.1150998429
"CHN",2015,10181.8373043162,10181.8373043162,10181.8373043162
"CIV",2015,1932.84234752589,1932.84234752589,1932.84234752589
"CMR",2015,2337.25562016391,2337.25562016391,2337.25562016391
"COD",2015,392.649270812896,392.649270812896,392.649270812896
"COG",2015,4973.22011757022,4973.22011757022,4973.22011757022
"COL",2015,10007.8660135369,10007.8660135369,10007.8660135369
"COM",2015,1018.02884615385,1018.02884615385,1018.02884615385
"CPV",2015,4152.04678362573,4152.04678362573,4152.04678362573
"CRI",2015,12128.4826618561,12128.4826618561,12128.4826618561
"CUB",2015,6683.188691062,6683.188691062,6683.188691062
"CYP",2015,17741.0562180579,17741.0562180579,17741.0562180579
"CZE",2015,26543.1339668344,26543.1339668344,26543.1339668344
"DEU",2015,36345.9445610268,36345.9445610268,36345.9445610268
"DJI",2015,2460.18614270941,2460.18614270941,2460.18614270941
"DNK",2015,34177.9975278121,34177.9975278121,34177.9975278121
"DOM",2015,9881.80255871682,9881.80255871682,9881.80255871682
"DZA",2015,8210.52631578947,8210.52631578947,8210.52631578947
"ECU",2015,8231.15349682107,8231.15349682107,8231.15349682107
"EGY",2015,6041.8683777859,6041.8683777859,6041.8683777859
"ERI",2015,530.79082053822,530.79082053822,530.79082053822
"ESP",2015,27411.6007043435,27411.6007043435,27411.6007043435
"EST",2015,20762.012012012,20762.012012012,20762.012012012
"ETH",2015,1165.66801967227,1165.66801967227,1165.66801967227
"FIN",2015,34641.0443673544,34641.0443673544,34641.0443673544
"FJI",2015,4410.6334841629,4410.6334841629,4410.6334841629
"FRA",2015,30553.7443681051,30553.7443681051,30553.7443681051
"GAB",2015,14767.4984783932,14767.4984783932,14767.4984783932
"GBR",2015,34068.6374076215,34068.6374076215,34068.6374076215
"GEO",2015,6410.18387553041,6410.18387553041,6410.18387553041
"GHA",2015,2047.80470030971,2047.80470030971,2047.80470030971
"GIN",2015,1240.70539041905,1240.70539041905,1240.70539041905
"GMB",2015,2105.36980749747,2105.36980749747,2105.36980749747
"GNB",2015,1211.09123434705,1211.09123434705,1211.09123434705
"GNQ",2015,31752.7950310559,31752.7950310559,31752.7950310559
"GRC",2015,22419.7077098101,22419.7077098101,22419.7077098101
"GTM",2015,4470.43542800594,4470.43542800594,4470.43542800594
"GUY",2015,3968.46254927727,3968.46254927727,3968.46254927727
"HKG",2015,47822.848583878,47822.848583878,47822.848583878
"HND",2015,3804.66507177034,3804.66507177034,3804.66507177034
"HRV",2015,16875.0859500344,16875.0859500344,16875.0859500344
"HTI",2015,1232.58003766478,1232.58003766478,1232.58003766478
"HUN",2015,18027.557453732,18027.557453732,18027.557453732
"IDN",2015,5038.994097737,5038.994097737,5038.994097737
"IND",2015,3835.80384360707,3835.80384360707,3835.80384360707
"IRL",2015,37532.4074074074,37532.4074074074,37532.4074074074
"IRN",2015,10940.4771046098,10940.4771046098,10940.4771046098
"IRQ",2015,4702.38876134252,4702.38876134252,4702.38876134252
"ISL",2015,34793.6046511628,34793.6046511628,34793.6046511628
"ISR",2015,29570.6692437787,29570.6692437787,29570.6692437787
"ITA",2015,27449.5542916741,27449.5542916741,27449.5542916741
"JAM",2015,7176.87319884726,7176.87319884726,7176.87319884726
"JOR",2015,5550.82475680248,5550.82475680248,5550.82475680248
"JPN",2015,32693.9865095696,32693.9865095696,32693.9865095696
"KAZ",2015,14248.3593843217,14248.3593843217,14248.3593843217
"KEN",2015,1697.84032265059,1697.84032265059,1697.84032265059
"KGZ",2015,2532.13644524237,2532.13644524237,2532.13644524237
"KHM",2015,2591.70675520022,2591.70675520022,2591.70675520022
"KOR",2015,32625.3252207404,32625.3252207404,32625.3252207404
"KWT",2015,50847.8535353535,50847.8535353535,50847.8535353535
"LAO",2015,3175.79121043948,3175.79121043948,3175.79121043948
"LBN",2015,14168.7242798354,14168.7242798354,14168.7242798354
"LBR",2015,611.634575993445,611.634575993445,611.634575993445
"LBY",2015,18543.8316400581,18543.8316400581,18543.8316400581
"LCA",2015,8390.10989010989,8390.10989010989,8390.10989010989
"LKA",2015,6121.31041193643,6121.31041193643,6121.31041193643
"LSO",2015,1751.32042253521,1751.32042253521,1751.32042253521
"LTU",2015,18866.9541114875,18866.9541114875,18866.9541114875
"LUX",2015,69780.7971014493,69780.7971014493,69780.7971014493
"LVA",2015,16222.5791647545,16222.5791647545,16222.5791647545
"MAC",2015,61336.1774744027,61336.1774744027,61336.1774744027
"MAR",2015,5137.30966753762,5137.30966753762,5137.30966753762
"MDA",2015,3673.89367389367,3673.89367389367,3673.89367389367
"MDG",2015,859.504825849769,859.504825849769,859.504825849769
"MDV",2015,8284.86646884273,8284.86646884273,8284.86646884273
"MEX",2015,13959.2998434609,13959.2998434609,13959.2998434609
"MKD",2015,10451.6283524904,10451.6283524904,10451.6283524904
"MLI",2015,941.955590183093,941.955590183093,941.955590183093
"MLT",2015,24577.8301886792,24577.8301886792,24577.8301886792
"MMR",2015,1869.694804532,1869.694804532,1869.694804532
"MNE",2015,10981.25,10981.25,10981.25
"MNG",2015,6004.0733197556,6004.0733197556,6004.0733197556
"MOZ",2015,1067.16989807648,1067.16989807648,1067.16989807648
"MRT",2015,2591.03785732681,2591.03785732681,2591.03785732681
"MUS",2015,14309.2550790068,14309.2550790068,14309.2550790068
"MWI",2015,881.436781609195,881.436781609195,881.436781609195
"MYS",2015,15481.2814974802,15481.2814974802,15481.2814974802
"NAM",2015,6587.47474747475,6587.47474747475,6587.47474747475
"NCL",2015,19422.2222222222,19422.2222222222,19422.2222222222
"NER",2015,780.790960451977,780.790960451977,780.790960451977
"NGA",2015,2607.19631038038,2607.19631038038,2607.19631038038
"NIC",2015,2842.75386132106,2842.75386132106,2842.75386132106
"NLD",2015,38888.9809444905,38888.9809444905,38888.9809444905
"NOR",2015,49956.9787813899,49956.9787813899,49956.9787813899
"NPL",2015,1204.95094339623,1204.95094339623,1204.95094339623
"NZL",2015,27179.8608090474,27179.8608090474,27179.8608090474
"OMN",2015,27439.5785314455,27439.5785314455,27439.5785314455
"PAK",2015,2590.10530498709,2590.10530498709,2590.10530498709
"PAN",2015,17191.4893617021,17191.4893617021,17191.4893617021
"PER",2015,10908.77552369,10908.77552369,10908.77552369
"PHL",2015,4112.72591764487,4112.72591764487,4112.72591764487
"PNG",2015,3138.90353189246,3138.90353189246,3138.90353189246
"POL",2015,19985.3627990712,19985.3627990712,19985.3627990712
"PRI",2015,19114.448051948,19114.448051948,19114.448051948
"PRT",2015,21268.6207216399,21268.6207216399,21268.6207216399
"PRY",2015,5317.15302491103,5317.15302491103,5317.15302491103
"PSE",2015,3111.5546684409,3111.5546684409,3111.5546684409
"PYF",2015,17143.8596491228,17143.8596491228,17143.8596491228
