"Region","year","value","value.lb","value.ub"
"AFG",2015,NA,NA,NA
"AGO",2015,NA,NA,NA
"ALB",2015,NA,NA,NA
"ARE",2015,NA,NA,NA
"ARG",2015,14466.8032395853,14466.8032395853,14466.8032395853
"ARM",2015,8600.25279757415,8600.25279757415,8600.25279757415
"AUS",2015,46218.0363571542,46218.0363571542,46218.0363571542
"AUT",2015,38429.9630287211,38429.9630287211,38429.9630287211
"AZE",2015,19337.8564405662,19337.8564405662,19337.8564405662
"BDI",2015,439.74172409103,439.74172409103,439.74172409103
"BEL",2015,38425.8356057492,38425.8356057492,38425.8356057492
"BEN",2015,1192.69625056894,1192.69625056894,1192.69625056894
"BFA",2015,911.861542912081,911.861542912081,911.861542912081
"BGD",2015,1695.74792333293,1695.74792333293,1695.74792333293
"BGR",2015,13822.8502940107,13822.8502940107,13822.8502940107
"BHR",2015,27937.2642850956,27937.2642850956,27937.2642850956
"BHS",2015,29977.1126277174,29977.1126277174,29977.1126277174
"BIH",2015,10243.2963427087,10243.2963427087,10243.2963427087
"BLR",2015,17941.398703643,17941.398703643,17941.398703643
"BLZ",2015,9451.74328943949,9451.74328943949,9451.74328943949
"BOL",2015,4242.81761238192,4242.81761238192,4242.81761238192
"BRA",2015,10838.1362204126,10838.1362204126,10838.1362204126
"BRB",2015,21332.8212658345,21332.8212658345,21332.8212658345
"BRN",2015,37840.2916769577,37840.2916769577,37840.2916769577
"BTN",2015,6462.87570061582,6462.87570061582,6462.87570061582
"BWA",2015,10099.8621384549,10099.8621384549,10099.8621384549
"CAF",2015,762.471787882609,762.471787882609,762.471787882609
"CAN",2015,38077.7695531804,38077.7695531804,38077.7695531804
"CHE",2015,41089.5782928085,41089.5782928085,41089.5782928085
"CHL",2015,13437.5085931048,13437.5085931048,13437.5085931048
"CHN",2015,12027.9319878637,12027.9319878637,12027.9319878637
"CIV",2015,1382.18454958317,1382.18454958317,1382.18454958317
"CMR",2015,1982.4413663344,1982.4413663344,1982.4413663344
"COD",2015,431.630360943967,431.630360943967,431.630360943967
"COG",2015,2745.39479948497,2745.39479948497,2745.39479948497
"COL",2015,8742.96404975994,8742.96404975994,8742.96404975994
"COM",2015,987.515801029489,987.515801029489,987.515801029489
"CPV",2015,4948.32849590593,4948.32849590593,4948.32849590593
"CRI",2015,12619.3251516172,12619.3251516172,12619.3251516172
"CUB",2015,14259.5102202474,14259.5102202474,14259.5102202474
"CYP",2015,22326.0113528495,22326.0113528495,22326.0113528495
"CZE",2015,24543.3980012874,24543.3980012874,24543.3980012874
"DEU",2015,32649.7321478487,32649.7321478487,32649.7321478487
"DJI",2015,2092.64717569628,2092.64717569628,2092.64717569628
"DNK",2015,33714.3477928997,33714.3477928997,33714.3477928997
"DOM",2015,11858.4232701251,11858.4232701251,11858.4232701251
"DZA",2015,6477.51937795676,6477.51937795676,6477.51937795676
"ECU",2015,7298.24607299238,7298.24607299238,7298.24607299238
"EGY",2015,5846.9086429817,5846.9086429817,5846.9086429817
"ERI",2015,664.298545294212,664.298545294212,664.298545294212
"ESP",2015,30572.0447318514,30572.0447318514,30572.0447318514
"EST",2015,18821.0705883047,18821.0705883047,18821.0705883047
"ETH",2015,983.766218825565,983.766218825565,983.766218825565
"FIN",2015,34254.8685852795,34254.8685852795,34254.8685852795
"FJI",2015,5074.87973494432,5074.87973494432,5074.87973494432
"FRA",2015,33434.7167154425,33434.7167154425,33434.7167154425
"GAB",2015,10308.6926895667,10308.6926895667,10308.6926895667
"GBR",2015,36424.1841715469,36424.1841715469,36424.1841715469
"GEO",2015,8778.11597839496,8778.11597839496,8778.11597839496
"GHA",2015,1461.21876640539,1461.21876640539,1461.21876640539
"GIN",2015,894.303896904511,894.303896904511,894.303896904511
"GLP",2015,NA,NA,NA
"GMB",2015,2007.9471270242,2007.9471270242,2007.9471270242
