"Region","year","value","value.lb","value.ub"
"ABW",2015,0.118,0.118,0.118
"AFG",2015,35.754,35.754,35.754
"AGO",2015,22.013,22.013,22.013
"ALB",2015,3.24,3.24,3.24
"ARE",2015,9.743,9.743,9.743
"ARG",2015,42.045,42.045,42.045
"ARM",2015,3.078,3.078,3.078
"AUS",2015,24.14,24.14,24.14
"AUT",2015,8.556,8.556,8.556
"AZE",2015,9.705,9.705,9.705
"BDI",2015,9.642,9.642,9.642
"BEL",2015,11.005,11.005,11.005
"BEN",2015,10.145,10.145,10.145
"BFA",2015,18.924,18.924,18.924
"BGD",2015,157.346,157.346,157.346
"BGR",2015,7.267,7.267,7.267
"BHR",2015,1.634,1.634,1.634
"BHS",2015,0.366,0.366,0.366
"BIH",2015,3.745,3.745,3.745
"BLR",2015,9.431,9.431,9.431
"BLZ",2015,0.34,0.34,0.34
"BOL",2015,10.647,10.647,10.647
"BRA",2015,203.15,203.15,203.15
"BRB",2015,0.276,0.276,0.276
"BRN",2015,0.433,0.433,0.433
"BTN",2015,0.797,0.797,0.797
"BWA",2015,2.13,2.13,2.13
"CAF",2015,4.818,4.818,4.818
"CAN",2015,35.858,35.858,35.858
"CHE",2015,7.9,7.9,7.9
"CHL",2015,17.87,17.87,17.87
"CHN",2015,1363.42,1363.42,1363.42
"CIV",2015,21.463,21.463,21.463
"CMR",2015,21.659,21.659,21.659
"COD",2015,75.413,75.413,75.413
"COG",2015,4.561,4.561,4.561
"COL",2015,49.332,49.332,49.332
"COM",2015,0.822,0.822,0.822
"CPV",2015,0.516,0.516,0.516
"CRI",2015,5.001,5.001,5.001
"CUB",2015,11.19,11.19,11.19
"CYP",2015,1.177,1.177,1.177
"CZE",2015,10.76,10.76,10.76
"DEU",2015,82.124,82.124,82.124
"DJI",2015,0.968,0.968,0.968
"DNK",2015,5.679,5.679,5.679
"DOM",2015,10.522,10.522,10.522
"DZA",2015,38.053,38.053,38.053
"ECU",2015,15.435,15.435,15.435
"EGY",2015,88.084,88.084,88.084
"ERI",2015,6.091,6.091,6.091
"ESP",2015,47.812,47.812,47.812
"EST",2015,1.335,1.335,1.335
"ETH",2015,92.596,92.596,92.596
"FIN",2015,5.493,5.493,5.493
"FJI",2015,0.897,0.897,0.897
"FRA",2015,66.97,66.97,66.97
"GAB",2015,1.634,1.634,1.634
"GBR",2015,64.178,64.178,64.178
"GEO",2015,4.258,4.258,4.258
"GHA",2015,27.248,27.248,27.248
"GIN",2015,10.897,10.897,10.897
"GMB",2015,1.959,1.959,1.959
"GNB",2015,1.665,1.665,1.665
"GNQ",2015,0.799,0.799,0.799
"GRC",2015,11.449,11.449,11.449
"GTM",2015,15.988,15.988,15.988
"GUY",2015,0.763,0.763,0.763
"HKG",2015,7.361,7.361,7.361
"HND",2015,8.28,8.28,8.28
"HRV",2015,4.373,4.373,4.373
"HTI",2015,10.558,10.558,10.558
"HUN",2015,9.853,9.853,9.853
"IDN",2015,251.396,251.396,251.396
"IND",2015,1307.933,1307.933,1307.933
"IRL",2015,4.767,4.767,4.767
"IRN",2015,78.344,78.344,78.344
"IRQ",2015,36.2,36.2,36.2
"ISL",2015,0.345,0.345,0.345
"ISR",2015,8.319,8.319,8.319
"ITA",2015,61.48,61.48,61.48
"JAM",2015,2.79,2.79,2.79
"JOR",2015,7.068,7.068,7.068
"JPN",2015,126.105,126.105,126.105
"KAZ",2015,16.866,16.866,16.866
"KEN",2015,45.566,45.566,45.566
"KGZ",2015,5.61,5.61,5.61
"KHM",2015,14.893,14.893,14.893
"KOR",2015,48.906,48.906,48.906
"KWT",2015,3.179,3.179,3.179
"LAO",2015,6.637,6.637,6.637
"LBN",2015,4.387,4.387,4.387
"LBR",2015,4.857,4.857,4.857
"LBY",2015,6.937,6.937,6.937
"LCA",2015,0.183,0.183,0.183
"LKA",2015,21.735,21.735,21.735
"LSO",2015,2.273,2.273,2.273
"LTU",2015,3.255,3.255,3.255
"LUX",2015,0.553,0.553,0.553
"LVA",2015,2.184,2.184,2.184
