"Region","year","value","value.lb","value.ub"
"AFG",2015,NA,NA,NA
"AGO",2015,NA,NA,NA
"ALB",2015,NA,NA,NA
"ARE",2015,NA,NA,NA
"ARG",2015,14444.6321658866,14444.6321658866,14444.6321658866
"ARM",2015,8573.99910604399,8573.99910604399,8573.99910604399
"AUS",2015,46400.2199477012,46400.2199477012,46400.2199477012
"AUT",2015,38472.479123056,38472.479123056,38472.479123056
"AZE",2015,19321.7766178912,19321.7766178912,19321.7766178912
"BDI",2015,439.582712332416,439.582712332416,439.582712332416
"BEL",2015,38481.6252983647,38481.6252983647,38481.6252983647
"BEN",2015,1191.43737050778,1191.43737050778,1191.43737050778
"BFA",2015,910.178884336613,910.178884336613,910.178884336613
"BGD",2015,1692.53845931566,1692.53845931566,1692.53845931566
"BGR",2015,13802.2734235908,13802.2734235908,13802.2734235908
"BHR",2015,28248.3131032424,28248.3131032424,28248.3131032424
"BHS",2015,29973.6779601444,29973.6779601444,29973.6779601444
"BIH",2015,10229.5643718918,10229.5643718918,10229.5643718918
"BLR",2015,17913.5456965044,17913.5456965044,17913.5456965044
"BLZ",2015,9430.78114741344,9430.78114741344,9430.78114741344
"BOL",2015,4233.7154175715,4233.7154175715,4233.7154175715
"BRA",2015,10823.0971585071,10823.0971585071,10823.0971585071
"BRB",2015,21306.7000013563,21306.7000013563,21306.7000013563
"BRN",2015,37811.3522157169,37811.3522157169,37811.3522157169
"BTN",2015,6461.59500374602,6461.59500374602,6461.59500374602
"BWA",2015,10092.3499622799,10092.3499622799,10092.3499622799
"CAF",2015,761.544881711895,761.544881711895,761.544881711895
"CAN",2015,38181.479295821,38181.479295821,38181.479295821
"CHE",2015,41146.0494300408,41146.0494300408,41146.0494300408
"CHL",2015,13422.5139309692,13422.5139309692,13422.5139309692
"CHN",2015,12012.4851956514,12012.4851956514,12012.4851956514
"CIV",2015,1379.51932469608,1379.51932469608,1379.51932469608
"CMR",2015,1979.87431495725,1979.87431495725,1979.87431495725
"COD",2015,431.077697260169,431.077697260169,431.077697260169
"COG",2015,2743.04675383843,2743.04675383843,2743.04675383843
"COL",2015,8730.74295602059,8730.74295602059,8730.74295602059
"COM",2015,985.844422592817,985.844422592817,985.844422592817
"CPV",2015,4933.9216526752,4933.9216526752,4933.9216526752
"CRI",2015,12614.3392492248,12614.3392492248,12614.3392492248
"CUB",2015,14226.1808715706,14226.1808715706,14226.1808715706
"CYP",2015,22361.2540889318,22361.2540889318,22361.2540889318
"CZE",2015,24582.1522056014,24582.1522056014,24582.1522056014
"DEU",2015,32661.2732231228,32661.2732231228,32661.2732231228
"DJI",2015,2089.95895586962,2089.95895586962,2089.95895586962
"DNK",2015,33756.2430861628,33756.2430861628,33756.2430861628
"DOM",2015,11833.964997646,11833.964997646,11833.964997646
"DZA",2015,6467.35628455319,6467.35628455319,6467.35628455319
"ECU",2015,7285.687812229,7285.687812229,7285.687812229
"EGY",2015,5837.56920805402,5837.56920805402,5837.56920805402
"ERI",2015,663.73452594733,663.73452594733,663.73452594733
"ESP",2015,30638.4611248636,30638.4611248636,30638.4611248636
"EST",2015,18824.785016369,18824.785016369,18824.785016369
"ETH",2015,982.445824933546,982.445824933546,982.445824933546
"FIN",2015,34293.0426402027,34293.0426402027,34293.0426402027
"FJI",2015,5058.8647115035,5058.8647115035,5058.8647115035
"FRA",2015,33467.0450508904,33467.0450508904,33467.0450508904
"GAB",2015,10296.7005771377,10296.7005771377,10296.7005771377
"GBR",2015,36474.8250202132,36474.8250202132,36474.8250202132
"GEO",2015,8745.54767549905,8745.54767549905,8745.54767549905
"GHA",2015,1459.10690225287,1459.10690225287,1459.10690225287
"GIN",2015,891.253790531697,891.253790531697,891.253790531697
"GLP",2015,NA,NA,NA
"GMB",2015,2004.62501439444,2004.62501439444,2004.62501439444
"GNB",2015,1073.81578934074,1073.81578934074,1073.81578934074
