"year","region","gdppc","gdppc.lb","gdppc.ub"
2015,"EU",34298.9369867296,34298.9369867296,34298.9369867296
2015,"US",52768.8752078742,52768.8752078742,52768.8752078742
2015,"OT",34034.7643990694,34034.7643990694,34034.7643990694
2015,"EE",13542.8331137143,13542.8331137143,13542.8331137143
2015,"CA",9698.5263611013,9698.5263611013,9698.5263611013
2015,"IA",5323.3953456097,5323.3953456097,5323.3953456097
2015,"AF",5372.47659564176,5372.47659564176,5372.47659564176
2015,"LA",12669.7988790675,12669.7988790675,12669.7988790675
2020,"EU",36858.7766821677,36858.7766821677,36858.7766821677
2020,"US",58089.9474177127,58089.9474177127,58089.9474177127
2020,"OT",37210.1686675765,37210.1686675765,37210.1686675765
2020,"EE",16683.9211903914,16683.9211903914,16683.9211903914
2020,"CA",14677.5826725346,14677.5826725346,14677.5826725346
2020,"IA",7007.06631187388,7007.06631187388,7007.06631187388
2020,"AF",6204.02329614192,6204.02329614192,6204.02329614192
2020,"LA",14716.3114676311,14716.3114676311,14716.3114676311
2030,"EU",42523.9229487783,42523.9229487783,42523.9229487783
2030,"US",66754.4978484375,66754.4978484375,66754.4978484375
2030,"OT",44172.5105957195,44172.5105957195,44172.5105957195
2030,"EE",24934.7733416275,24934.7733416275,24934.7733416275
2030,"CA",27448.5339663074,27448.5339663074,27448.5339663074
2030,"IA",12094.464767523,12094.464767523,12094.464767523
2030,"AF",8600.37513556262,8600.37513556262,8600.37513556262
2030,"LA",19970.3475843952,19970.3475843952,19970.3475843952
2040,"EU",50084.9393609715,50084.9393609715,50084.9393609715
2040,"US",74693.1208672178,74693.1208672178,74693.1208672178
2040,"OT",51975.496585799,51975.496585799,51975.496585799
2040,"EE",34432.4334999421,34432.4334999421,34432.4334999421
2040,"CA",41777.8251749209,41777.8251749209,41777.8251749209
2040,"IA",19907.9716944897,19907.9716944897,19907.9716944897
2040,"AF",12548.228071186,12548.228071186,12548.228071186
2040,"LA",27311.2048182181,27311.2048182181,27311.2048182181
2050,"EU",59048.4097460959,59048.4097460959,59048.4097460959
2050,"US",83245.8459857064,83245.8459857064,83245.8459857064
2050,"OT",61156.8645048258,61156.8645048258,61156.8645048258
2050,"EE",42761.3796605866,42761.3796605866,42761.3796605866
2050,"CA",55982.5859594005,55982.5859594005,55982.5859594005
2050,"IA",30417.189847043,30417.189847043,30417.189847043
2050,"AF",18735.8106661855,18735.8106661855,18735.8106661855
2050,"LA",36990.0533767748,36990.0533767748,36990.0533767748
2075,"EU",90219.3229828537,90219.3229828537,90219.3229828537
2075,"US",111341.308534751,111341.308534751,111341.308534751
2075,"OT",92982.537623301,92982.537623301,92982.537623301
2075,"EE",67620.3699290372,67620.3699290372,67620.3699290372
2075,"CA",86168.0545856807,86168.0545856807,86168.0545856807
2075,"IA",66528.4150117404,66528.4150117404,66528.4150117404
2075,"AF",49707.0301914059,49707.0301914059,49707.0301914059
2075,"LA",71652.518179623,71652.518179623,71652.518179623
2100,"EU",137168.928811581,137168.928811581,137168.928811581
2100,"US",156842.405044934,156842.405044934,156842.405044934
2100,"OT",140676.638899527,140676.638899527,140676.638899527
2100,"EE",100558.836788433,100558.836788433,100558.836788433
