"Region","year","value","value.lb","value.ub"
"AFG",2015,NA,NA,NA
"AGO",2015,NA,NA,NA
"ALB",2015,NA,NA,NA
"ARE",2015,NA,NA,NA
"ARG",2015,14213.9520895275,14213.9520895275,14213.9520895275
"ARM",2015,8595.68054281085,8595.68054281085,8595.68054281085
"AUS",2015,46774.0042419077,46774.0042419077,46774.0042419077
"AUT",2015,38685.6714182547,38685.6714182547,38685.6714182547
"AZE",2015,19758.9449763937,19758.9449763937,19758.9449763937
"BDI",2015,392.834589096652,392.834589096652,392.834589096652
"BEL",2015,38862.3981549388,38862.3981549388,38862.3981549388
"BEN",2015,1129.60033762855,1129.60033762855,1129.60033762855
"BFA",2015,812.250693433075,812.250693433075,812.250693433075
"BGD",2015,1648.79886190482,1648.79886190482,1648.79886190482
"BGR",2015,13802.0980336241,13802.0980336241,13802.0980336241
"BHR",2015,28122.9443924983,28122.9443924983,28122.9443924983
"BHS",2015,29840.9453399212,29840.9453399212,29840.9453399212
"BIH",2015,10218.0564195066,10218.0564195066,10218.0564195066
"BLR",2015,17960.5751921762,17960.5751921762,17960.5751921762
"BLZ",2015,8911.89779074327,8911.89779074327,8911.89779074327
"BOL",2015,4094.35372703792,4094.35372703792,4094.35372703792
"BRA",2015,10724.2984786916,10724.2984786916,10724.2984786916
"BRB",2015,21252.7395498146,21252.7395498146,21252.7395498146
"BRN",2015,37698.3436079093,37698.3436079093,37698.3436079093
"BTN",2015,6352.43220422937,6352.43220422937,6352.43220422937
"BWA",2015,10117.781992189,10117.781992189,10117.781992189
"CAF",2015,680.932742458153,680.932742458153,680.932742458153
"CAN",2015,38637.4508718687,38637.4508718687,38637.4508718687
"CHE",2015,41505.226920726,41505.226920726,41505.226920726
"CHL",2015,13327.4219002303,13327.4219002303,13327.4219002303
"CHN",2015,11970.3435282041,11970.3435282041,11970.3435282041
"CIV",2015,1278.24343841304,1278.24343841304,1278.24343841304
"CMR",2015,1860.97495539222,1860.97495539222,1860.97495539222
"COD",2015,410.994296293276,410.994296293276,410.994296293276
"COG",2015,2608.57752563745,2608.57752563745,2608.57752563745
"COL",2015,8591.36274650018,8591.36274650018,8591.36274650018
"COM",2015,902.467134367194,902.467134367194,902.467134367194
"CPV",2015,4798.54500545001,4798.54500545001,4798.54500545001
"CRI",2015,12233.2669008941,12233.2669008941,12233.2669008941
"CUB",2015,14155.6692472167,14155.6692472167,14155.6692472167
"CYP",2015,22326.0497268526,22326.0497268526,22326.0497268526
"CZE",2015,24760.8770841114,24760.8770841114,24760.8770841114
"DEU",2015,32854.4611107161,32854.4611107161,32854.4611107161
"DJI",2015,2071.13143701114,2071.13143701114,2071.13143701114
"DNK",2015,34093.0387962068,34093.0387962068,34093.0387962068
"DOM",2015,11669.68250249,11669.68250249,11669.68250249
"DZA",2015,6384.69741056564,6384.69741056564,6384.69741056564
"ECU",2015,7062.28739949666,7062.28739949666,7062.28739949666
"EGY",2015,5784.17337550962,5784.17337550962,5784.17337550962
"ERI",2015,655.810779046498,655.810779046498,655.810779046498
"ESP",2015,30757.1087300966,30757.1087300966,30757.1087300966
"EST",2015,19017.9707462924,19017.9707462924,19017.9707462924
"ETH",2015,896.691417899008,896.691417899008,896.691417899008
"FIN",2015,34505.7852757304,34505.7852757304,34505.7852757304
"FJI",2015,5042.93503889257,5042.93503889257,5042.93503889257
"FRA",2015,33620.3427431818,33620.3427431818,33620.3427431818
"GAB",2015,9795.40682781102,9795.40682781102,9795.40682781102
"GBR",2015,36679.7217345589,36679.7217345589,36679.7217345589
"GEO",2015,8748.85959032818,8748.85959032818,8748.85959032818
"GHA",2015,1411.50710768993,1411.50710768993,1411.50710768993
"GIN",2015,803.238019732928,803.238019732928,803.238019732928
"GLP",2015,NA,NA,NA
"GMB",2015,1904.41484056053,1904.41484056053,1904.41484056053
"GNB",2015,1000.78362136825,1000.78362136825,1000.78362136825
