"year","region","gdppc","gdppc.lb","gdppc.ub"
2015,"EU",34298.9369867296,34298.9369867296,34298.9369867296
2015,"US",52768.8752078742,52768.8752078742,52768.8752078742
2015,"OT",34034.7643990694,34034.7643990694,34034.7643990694
2015,"EE",13542.8331137143,13542.8331137143,13542.8331137143
2015,"CA",9698.5263611013,9698.5263611013,9698.5263611013
2015,"IA",5323.3953456097,5323.3953456097,5323.3953456097
2015,"AF",5372.47659564176,5372.47659564176,5372.47659564176
2015,"LA",12669.7988790675,12669.7988790675,12669.7988790675
2020,"EU",36749.9096419396,36749.9096419396,36749.9096419396
2020,"US",57976.0679243971,57976.0679243971,57976.0679243971
2020,"OT",37374.9447912752,37374.9447912752,37374.9447912752
2020,"EE",17194.1200158309,17194.1200158309,17194.1200158309
2020,"CA",15421.7885878506,15421.7885878506,15421.7885878506
2020,"IA",7194.75094235171,7194.75094235171,7194.75094235171
2020,"AF",6261.50117645136,6261.50117645136,6261.50117645136
2020,"LA",14910.1333855414,14910.1333855414,14910.1333855414
2030,"EU",42902.5590391419,42902.5590391419,42902.5590391419
2030,"US",66689.36532198,66689.36532198,66689.36532198
2030,"OT",45559.8491481766,45559.8491481766,45559.8491481766
2030,"EE",27504.7159144222,27504.7159144222,27504.7159144222
2030,"CA",30995.4399500095,30995.4399500095,30995.4399500095
2030,"IA",13204.2543209673,13204.2543209673,13204.2543209673
2030,"AF",9188.6543453064,9188.6543453064,9188.6543453064
2030,"LA",21215.8218202529,21215.8218202529,21215.8218202529
2040,"EU",51736.7114397524,51736.7114397524,51736.7114397524
2040,"US",75734.4561381846,75734.4561381846,75734.4561381846
2040,"OT",55864.7574343099,55864.7574343099,55864.7574343099
2040,"EE",40207.6304693663,40207.6304693663,40207.6304693663
2040,"CA",48412.0586599227,48412.0586599227,48412.0586599227
2040,"IA",22661.8967705822,22661.8967705822,22661.8967705822
2040,"AF",14379.3180460961,14379.3180460961,14379.3180460961
2040,"LA",30305.0385564281,30305.0385564281,30305.0385564281
2050,"EU",63190.5320417879,63190.5320417879,63190.5320417879
2050,"US",87202.627960724,87202.627960724,87202.627960724
2050,"OT",68702.0910325899,68702.0910325899,68702.0910325899
2050,"EE",51872.2907153989,51872.2907153989,51872.2907153989
2050,"CA",66079.5208949669,66079.5208949669,66079.5208949669
2050,"IA",35804.1523642818,35804.1523642818,35804.1523642818
2050,"AF",22588.3987974874,22588.3987974874,22588.3987974874
2050,"LA",42624.5033519885,42624.5033519885,42624.5033519885
2075,"EU",109944.379443857,109944.379443857,109944.379443857
2075,"US",134221.752664013,134221.752664013,134221.752664013
2075,"OT",118950.664096468,118950.664096468,118950.664096468
2075,"EE",89811.5812206469,89811.5812206469,89811.5812206469
2075,"CA",110285.839848391,110285.839848391,110285.839848391
2075,"IA",86681.6724004474,86681.6724004474,86681.6724004474
2075,"AF",66600.5274239571,66600.5274239571,66600.5274239571
2075,"LA",92105.3326711988,92105.3326711988,92105.3326711988
2100,"EU",192698.986751114,192698.986751114,192698.986751114
2100,"US",220205.012008141,220205.012008141,220205.012008141
2100,"OT",205447.839337817,205447.839337817,205447.839337817
2100,"EE",149894.332296612,149894.332296612,149894.332296612
