"Region","year","value","value.lb","value.ub"
"ABW",2015,1737.28813559322,1737.28813559322,1737.28813559322
"AFG",2015,1347.68137830732,1347.68137830732,1347.68137830732
"AGO",2015,5845.59124153909,5845.59124153909,5845.59124153909
"ALB",2015,8331.48148148148,8331.48148148148,8331.48148148148
"ARE",2015,45279.9958944883,45279.9958944883,45279.9958944883
"ARG",2015,17101.6054227613,17101.6054227613,17101.6054227613
"ARM",2015,5912.93047433398,5912.93047433398,5912.93047433398
"AUS",2015,38967.43993372,38967.43993372,38967.43993372
"AUT",2015,38627.7466105657,38627.7466105657,38627.7466105657
"AZE",2015,9449.66512107161,9449.66512107161,9449.66512107161
"BDI",2015,597.49014727235,597.49014727235,597.49014727235
"BEL",2015,35065.3339391186,35065.3339391186,35065.3339391186
"BEN",2015,1495.71217348448,1495.71217348448,1495.71217348448
"BFA",2015,1336.2396956246,1336.2396956246,1336.2396956246
"BGD",2015,1916.5469729132,1916.5469729132,1916.5469729132
"BGR",2015,13229.6683638365,13229.6683638365,13229.6683638365
"BHR",2015,21632.8029375765,21632.8029375765,21632.8029375765
"BHS",2015,29795.0819672131,29795.0819672131,29795.0819672131
"BIH",2015,8231.24165554072,8231.24165554072,8231.24165554072
"BLR",2015,15417.0289470894,15417.0289470894,15417.0289470894
"BLZ",2015,6732.35294117647,6732.35294117647,6732.35294117647
"BOL",2015,5137.40959894806,5137.40959894806,5137.40959894806
"BRA",2015,11387.5116908688,11387.5116908688,11387.5116908688
"BRB",2015,18409.4202898551,18409.4202898551,18409.4202898551
"BRN",2015,48415.7043879908,48415.7043879908,48415.7043879908
"BTN",2015,7127.97992471769,7127.97992471769,7127.97992471769
"BWA",2015,14598.1220657277,14598.1220657277,14598.1220657277
"CAF",2015,799.294312992943,799.294312992943,799.294312992943
"CAN",2015,37753.1094874226,37753.1094874226,37753.1094874226
"CHE",2015,40823.5443037975,40823.5443037975,40823.5443037975
"CHL",2015,16541.410184667,16541.410184667,16541.410184667
"CHN",2015,10181.8383183465,10181.8383183465,10181.8383183465
"CIV",2015,1932.81461119135,1932.81461119135,1932.81461119135
