"Region","year","value","value.lb","value.ub"
"AFG",2015,NA,NA,NA
"AGO",2015,NA,NA,NA
"ALB",2015,NA,NA,NA
"ARE",2015,NA,NA,NA
"ARG",2015,14370.6034175092,14370.6034175092,14370.6034175092
"ARM",2015,8606.28808739909,8606.28808739909,8606.28808739909
"AUS",2015,46545.0674336062,46545.0674336062,46545.0674336062
"AUT",2015,38531.8981497848,38531.8981497848,38531.8981497848
"AZE",2015,19792.0192888009,19792.0192888009,19792.0192888009
"BDI",2015,412.395197771145,412.395197771145,412.395197771145
"BEL",2015,38610.2133668178,38610.2133668178,38610.2133668178
"BEN",2015,1147.01343584819,1147.01343584819,1147.01343584819
"BFA",2015,855.208515411935,855.208515411935,855.208515411935
"BGD",2015,1661.1790146209,1661.1790146209,1661.1790146209
"BGR",2015,13846.6222337396,13846.6222337396,13846.6222337396
"BHR",2015,28245.9764526376,28245.9764526376,28245.9764526376
"BHS",2015,29922.0393987821,29922.0393987821,29922.0393987821
"BIH",2015,10227.9501864956,10227.9501864956,10227.9501864956
"BLR",2015,17975.5606433857,17975.5606433857,17975.5606433857
"BLZ",2015,9119.40553676944,9119.40553676944,9119.40553676944
"BOL",2015,4184.31212970186,4184.31212970186,4184.31212970186
"BRA",2015,10765.2646406882,10765.2646406882,10765.2646406882
"BRB",2015,21261.765083591,21261.765083591,21261.765083591
"BRN",2015,37589.8670587524,37589.8670587524,37589.8670587524
"BTN",2015,6407.94155145582,6407.94155145582,6407.94155145582
"BWA",2015,10090.4321078664,10090.4321078664,10090.4321078664
"CAF",2015,719.720872381826,719.720872381826,719.720872381826
"CAN",2015,38308.3071056664,38308.3071056664,38308.3071056664
"CHE",2015,41320.2054657967,41320.2054657967,41320.2054657967
"CHL",2015,13405.8442350564,13405.8442350564,13405.8442350564
"CHN",2015,11991.6752123739,11991.6752123739,11991.6752123739
"CIV",2015,1332.80703118016,1332.80703118016,1332.80703118016
"CMR",2015,1927.27522632727,1927.27522632727,1927.27522632727
"COD",2015,423.756215345321,423.756215345321,423.756215345321
"COG",2015,2682.28619842018,2682.28619842018,2682.28619842018
"COL",2015,8671.71001475865,8671.71001475865,8671.71001475865
"COM",2015,950.365368416102,950.365368416102,950.365368416102
"CPV",2015,4838.37363510488,4838.37363510488,4838.37363510488
"CRI",2015,12453.6295010929,12453.6295010929,12453.6295010929
"CUB",2015,14234.385491342,14234.385491342,14234.385491342
"CYP",2015,22397.3377320317,22397.3377320317,22397.3377320317
"CZE",2015,24686.5254448193,24686.5254448193,24686.5254448193
"DEU",2015,32718.5173611675,32718.5173611675,32718.5173611675
"DJI",2015,2076.53144745932,2076.53144745932,2076.53144745932
"DNK",2015,33913.6366076109,33913.6366076109,33913.6366076109
"DOM",2015,11775.1323913699,11775.1323913699,11775.1323913699
"DZA",2015,6440.84707338193,6440.84707338193,6440.84707338193
"ECU",2015,7218.59952947271,7218.59952947271,7218.59952947271
"EGY",2015,5809.66339577716,5809.66339577716,5809.66339577716
"ERI",2015,657.153503960261,657.153503960261,657.153503960261
"ESP",2015,30693.6133835028,30693.6133835028,30693.6133835028
"EST",2015,18916.3031389504,18916.3031389504,18916.3031389504
"ETH",2015,929.561667614623,929.561667614623,929.561667614623
"FIN",2015,34370.5975183183,34370.5975183183,34370.5975183183
"FJI",2015,5023.39103623158,5023.39103623158,5023.39103623158
"FRA",2015,33499.2508802081,33499.2508802081,33499.2508802081
"GAB",2015,10111.746614089,10111.746614089,10111.746614089
"GBR",2015,36535.3070862368,36535.3070862368,36535.3070862368
"GEO",2015,8759.86625120548,8759.86625120548,8759.86625120548
"GHA",2015,1433.38842541034,1433.38842541034,1433.38842541034
"GIN",2015,847.183578569947,847.183578569947,847.183578569947
"GLP",2015,NA,NA,NA
"GMB",2015,1953.81070081728,1953.81070081728,1953.81070081728
"GNB",2015,1036.68111399446,1036.68111399446,1036.68111399446
