# Index: time, region

year,EU,US,OT,EE,CA,IA,AF,LA
2020,1.53,2.55,2.03,3.88,8.24,6.26,4.53,3.7
2030,1.28,1.85,1.7,3.45,5.77,5.69,4.37,3.34
2040,1.28,1.37,1.39,2.71,3.62,5.02,4.65,3.2
2050,1.14,1.14,1.19,1.62,2.19,4.14,4.69,2.93
2075,1.01,1.03,0.99,1.25,0.76,2.85,4.49,2.4
2100,0.93,0.96,0.8,0.98,0.11,1.61,3.59,1.65
